SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '7.0318', 'loss': '7.0318'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '11.3290', 'loss': '11.3290'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '13.5316', 'loss': '13.5316'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '13.8064', 'loss': '13.8064'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '12.6736', 'loss': '12.6736'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '10.7503', 'loss': '10.7503'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '7.7668', 'loss': '7.7668'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '14.5844', 'loss': '14.5844'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '13.2094', 'loss': '13.2094'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '10.8296', 'loss': '10.8296'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '13.4083', 'loss': '13.4083'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '13.8482', 'loss': '13.8482'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '9.6815', 'loss': '9.6815'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '11.9971', 'loss': '11.9971'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '11.7384', 'loss': '11.7384'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '6.9152', 'loss': '6.9152'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '2.0903', 'loss': '2.0903'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '10.6746', 'loss': '10.6746'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '10.7329', 'loss': '10.7329'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '10.5671', 'loss': '10.5671'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '9.7860', 'loss': '9.7860'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '8.3765', 'loss': '8.3765'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '7.5825', 'loss': '7.5825'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '5.9328', 'loss': '5.9328'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '10.7144', 'loss': '10.7144'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '10.3497', 'loss': '10.3497'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '10.8516', 'loss': '10.8516'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '8.3328', 'loss': '8.3328'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '9.7671', 'loss': '9.7671'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '3.8023', 'loss': '3.8023'}
