SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '10.5847', 'loss': '10.5847'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '11.3912', 'loss': '11.3912'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '10.8212', 'loss': '10.8212'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '8.5331', 'loss': '8.5331'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '9.0132', 'loss': '9.0132'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '7.2434', 'loss': '7.2434'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '8.7563', 'loss': '8.7563'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '3.0711', 'loss': '3.0711'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '10.0734', 'loss': '10.0734'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '7.7346', 'loss': '7.7346'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '1.4885', 'loss': '1.4885'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '6.3953', 'loss': '6.3953'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '8.4836', 'loss': '8.4836'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '8.9801', 'loss': '8.9801'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '6.7313', 'loss': '6.7313'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '7.3635', 'loss': '7.3635'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '6.5579', 'loss': '6.5579'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '3.3003', 'loss': '3.3003'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '3.7686', 'loss': '3.7686'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '6.5804', 'loss': '6.5804'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '4.0052', 'loss': '4.0052'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '0.5016', 'loss': '0.5016'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '1.4912', 'loss': '1.4912'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '2.1707', 'loss': '2.1707'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '3.0789', 'loss': '3.0789'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '2.7315', 'loss': '2.7315'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '4.1305', 'loss': '4.1305'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '4.2351', 'loss': '4.2351'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '2.0722', 'loss': '2.0722'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '8.5709', 'loss': '8.5709'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '3.2789', 'loss': '3.2789'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '4.0276', 'loss': '4.0276'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '5.3737', 'loss': '5.3737'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '3.2939', 'loss': '3.2939'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '2.5433', 'loss': '2.5433'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '1.4008', 'loss': '1.4008'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '1.5113', 'loss': '1.5113'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '0.8068', 'loss': '0.8068'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '2.6780', 'loss': '2.6780'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '1.2713', 'loss': '1.2713'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '1.0178', 'loss': '1.0178'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '1.2004', 'loss': '1.2004'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '2.2634', 'loss': '2.2634'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '6.8247', 'loss': '6.8247'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '1.2935', 'loss': '1.2935'}
Val | Epoch: 1 | {'rmse': '16.249', 'pearson': '0.934', 'r2': '0.813', 'spearmanr': '0.929'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.9136', 'loss': '2.9136'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '2.5052', 'loss': '2.5052'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '3.3547', 'loss': '3.3547'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '1.6160', 'loss': '1.6160'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '1.1367', 'loss': '1.1367'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '1.9785', 'loss': '1.9785'}
Train | Epoch: 2 | Step: 60 / 442 | {'loss_reg': '0.9715', 'loss': '0.9715'}
Train | Epoch: 2 | Step: 70 / 442 | {'loss_reg': '1.9067', 'loss': '1.9067'}
Train | Epoch: 2 | Step: 80 / 442 | {'loss_reg': '0.9557', 'loss': '0.9557'}
Train | Epoch: 2 | Step: 90 / 442 | {'loss_reg': '2.2956', 'loss': '2.2956'}
Train | Epoch: 2 | Step: 100 / 442 | {'loss_reg': '0.6190', 'loss': '0.6190'}
Train | Epoch: 2 | Step: 110 / 442 | {'loss_reg': '4.5952', 'loss': '4.5952'}
Train | Epoch: 2 | Step: 120 / 442 | {'loss_reg': '2.2399', 'loss': '2.2399'}
Train | Epoch: 2 | Step: 130 / 442 | {'loss_reg': '2.3554', 'loss': '2.3554'}
Train | Epoch: 2 | Step: 140 / 442 | {'loss_reg': '2.5013', 'loss': '2.5013'}
