SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '15.2743', 'loss': '15.2743'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '13.4641', 'loss': '13.4641'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '3.1233', 'loss': '3.1233'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '11.9617', 'loss': '11.9617'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '14.5322', 'loss': '14.5322'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '4.2763', 'loss': '4.2763'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '8.2830', 'loss': '8.2830'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '12.9023', 'loss': '12.9023'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '8.6725', 'loss': '8.6725'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '6.6779', 'loss': '6.6779'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '10.8275', 'loss': '10.8275'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '14.0532', 'loss': '14.0532'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '9.6691', 'loss': '9.6691'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '14.2203', 'loss': '14.2203'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '10.9442', 'loss': '10.9442'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '9.9993', 'loss': '9.9993'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '12.2277', 'loss': '12.2277'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '5.8592', 'loss': '5.8592'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '1.7087', 'loss': '1.7087'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '12.5852', 'loss': '12.5852'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '9.3311', 'loss': '9.3311'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '6.9975', 'loss': '6.9975'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '5.8570', 'loss': '5.8570'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '11.4869', 'loss': '11.4869'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '7.0689', 'loss': '7.0689'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '2.3175', 'loss': '2.3175'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '8.6118', 'loss': '8.6118'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '6.2871', 'loss': '6.2871'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '10.8447', 'loss': '10.8447'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '11.3014', 'loss': '11.3014'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '3.5376', 'loss': '3.5376'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '13.2870', 'loss': '13.2870'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '10.5528', 'loss': '10.5528'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '10.4770', 'loss': '10.4770'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '6.0959', 'loss': '6.0959'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '11.8689', 'loss': '11.8689'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '7.3417', 'loss': '7.3417'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '6.7097', 'loss': '6.7097'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '6.1272', 'loss': '6.1272'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '7.8569', 'loss': '7.8569'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '8.1165', 'loss': '8.1165'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '2.1342', 'loss': '2.1342'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '6.5074', 'loss': '6.5074'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '4.7595', 'loss': '4.7595'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '8.9170', 'loss': '8.9170'}
Val | Epoch: 1 | {'rmse': '25.466', 'pearson': '0.903', 'r2': '0.533', 'spearmanr': '0.890'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '4.7771', 'loss': '4.7771'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '0.6359', 'loss': '0.6359'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '1.3026', 'loss': '1.3026'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '9.9334', 'loss': '9.9334'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '6.4280', 'loss': '6.4280'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '4.0433', 'loss': '4.0433'}
Train | Epoch: 2 | Step: 60 / 442 | {'loss_reg': '7.8490', 'loss': '7.8490'}
Train | Epoch: 2 | Step: 70 / 442 | {'loss_reg': '4.5928', 'loss': '4.5928'}
Train | Epoch: 2 | Step: 80 / 442 | {'loss_reg': '4.7045', 'loss': '4.7045'}
Train | Epoch: 2 | Step: 90 / 442 | {'loss_reg': '1.7752', 'loss': '1.7752'}
Train | Epoch: 2 | Step: 100 / 442 | {'loss_reg': '7.2096', 'loss': '7.2096'}
Train | Epoch: 2 | Step: 110 / 442 | {'loss_reg': '4.9951', 'loss': '4.9951'}
Train | Epoch: 2 | Step: 120 / 442 | {'loss_reg': '5.5026', 'loss': '5.5026'}
Train | Epoch: 2 | Step: 130 / 442 | {'loss_reg': '7.2155', 'loss': '7.2155'}
Train | Epoch: 2 | Step: 140 / 442 | {'loss_reg': '4.8706', 'loss': '4.8706'}
Train | Epoch: 2 | Step: 150 / 442 | {'loss_reg': '8.5252', 'loss': '8.5252'}
Train | Epoch: 2 | Step: 160 / 442 | {'loss_reg': '2.7874', 'loss': '2.7874'}
Train | Epoch: 2 | Step: 170 / 442 | {'loss_reg': '6.3152', 'loss': '6.3152'}
Train | Epoch: 2 | Step: 180 / 442 | {'loss_reg': '6.3633', 'loss': '6.3633'}
Train | Epoch: 2 | Step: 190 / 442 | {'loss_reg': '3.9436', 'loss': '3.9436'}
Train | Epoch: 2 | Step: 200 / 442 | {'loss_reg': '2.0793', 'loss': '2.0793'}
Train | Epoch: 2 | Step: 210 / 442 | {'loss_reg': '5.8613', 'loss': '5.8613'}
Train | Epoch: 2 | Step: 220 / 442 | {'loss_reg': '4.2029', 'loss': '4.2029'}
Train | Epoch: 2 | Step: 230 / 442 | {'loss_reg': '5.4281', 'loss': '5.4281'}
Train | Epoch: 2 | Step: 240 / 442 | {'loss_reg': '4.4867', 'loss': '4.4867'}
Train | Epoch: 2 | Step: 250 / 442 | {'loss_reg': '3.7116', 'loss': '3.7116'}
Train | Epoch: 2 | Step: 260 / 442 | {'loss_reg': '3.6651', 'loss': '3.6651'}
Train | Epoch: 2 | Step: 270 / 442 | {'loss_reg': '2.8413', 'loss': '2.8413'}
Train | Epoch: 2 | Step: 280 / 442 | {'loss_reg': '5.7706', 'loss': '5.7706'}
Train | Epoch: 2 | Step: 290 / 442 | {'loss_reg': '1.4769', 'loss': '1.4769'}
Train | Epoch: 2 | Step: 300 / 442 | {'loss_reg': '8.3222', 'loss': '8.3222'}
Train | Epoch: 2 | Step: 310 / 442 | {'loss_reg': '2.3885', 'loss': '2.3885'}
Train | Epoch: 2 | Step: 320 / 442 | {'loss_reg': '4.7354', 'loss': '4.7354'}
Train | Epoch: 2 | Step: 330 / 442 | {'loss_reg': '2.9394', 'loss': '2.9394'}
Train | Epoch: 2 | Step: 340 / 442 | {'loss_reg': '4.4829', 'loss': '4.4829'}
Train | Epoch: 2 | Step: 350 / 442 | {'loss_reg': '1.0510', 'loss': '1.0510'}
Train | Epoch: 2 | Step: 360 / 442 | {'loss_reg': '8.8143', 'loss': '8.8143'}
Train | Epoch: 2 | Step: 370 / 442 | {'loss_reg': '1.1964', 'loss': '1.1964'}
Train | Epoch: 2 | Step: 380 / 442 | {'loss_reg': '3.2706', 'loss': '3.2706'}
Train | Epoch: 2 | Step: 390 / 442 | {'loss_reg': '3.2559', 'loss': '3.2559'}
Train | Epoch: 2 | Step: 400 / 442 | {'loss_reg': '1.7987', 'loss': '1.7987'}
Train | Epoch: 2 | Step: 410 / 442 | {'loss_reg': '0.6925', 'loss': '0.6925'}
Train | Epoch: 2 | Step: 420 / 442 | {'loss_reg': '4.1609', 'loss': '4.1609'}
Train | Epoch: 2 | Step: 430 / 442 | {'loss_reg': '1.7169', 'loss': '1.7169'}
Train | Epoch: 2 | Step: 440 / 442 | {'loss_reg': '2.2869', 'loss': '2.2869'}
Val | Epoch: 2 | {'rmse': '11.915', 'pearson': '0.955', 'r2': '0.898', 'spearmanr': '0.886'}
Train | Epoch: 3 | Step: 0 / 442 | {'loss_reg': '2.4173', 'loss': '2.4173'}
Train | Epoch: 3 | Step: 10 / 442 | {'loss_reg': '3.6431', 'loss': '3.6431'}
Train | Epoch: 3 | Step: 20 / 442 | {'loss_reg': '3.6528', 'loss': '3.6528'}
Train | Epoch: 3 | Step: 30 / 442 | {'loss_reg': '2.4171', 'loss': '2.4171'}
Train | Epoch: 3 | Step: 40 / 442 | {'loss_reg': '0.3666', 'loss': '0.3666'}
Train | Epoch: 3 | Step: 50 / 442 | {'loss_reg': '0.9873', 'loss': '0.9873'}
Train | Epoch: 3 | Step: 60 / 442 | {'loss_reg': '1.6357', 'loss': '1.6357'}
Train | Epoch: 3 | Step: 70 / 442 | {'loss_reg': '2.0937', 'loss': '2.0937'}
Train | Epoch: 3 | Step: 80 / 442 | {'loss_reg': '0.0613', 'loss': '0.0613'}
Train | Epoch: 3 | Step: 90 / 442 | {'loss_reg': '2.7797', 'loss': '2.7797'}
Train | Epoch: 3 | Step: 100 / 442 | {'loss_reg': '3.3480', 'loss': '3.3480'}
Train | Epoch: 3 | Step: 110 / 442 | {'loss_reg': '2.1748', 'loss': '2.1748'}
Train | Epoch: 3 | Step: 120 / 442 | {'loss_reg': '3.7584', 'loss': '3.7584'}
Train | Epoch: 3 | Step: 130 / 442 | {'loss_reg': '3.0019', 'loss': '3.0019'}
Train | Epoch: 3 | Step: 140 / 442 | {'loss_reg': '1.9797', 'loss': '1.9797'}
Train | Epoch: 3 | Step: 150 / 442 | {'loss_reg': '0.7322', 'loss': '0.7322'}
Train | Epoch: 3 | Step: 160 / 442 | {'loss_reg': '0.3364', 'loss': '0.3364'}
Train | Epoch: 3 | Step: 170 / 442 | {'loss_reg': '0.4715', 'loss': '0.4715'}
Train | Epoch: 3 | Step: 180 / 442 | {'loss_reg': '1.9681', 'loss': '1.9681'}
Train | Epoch: 3 | Step: 190 / 442 | {'loss_reg': '1.4472', 'loss': '1.4472'}
Train | Epoch: 3 | Step: 200 / 442 | {'loss_reg': '1.1029', 'loss': '1.1029'}
Train | Epoch: 3 | Step: 210 / 442 | {'loss_reg': '1.2649', 'loss': '1.2649'}
Train | Epoch: 3 | Step: 220 / 442 | {'loss_reg': '3.2649', 'loss': '3.2649'}
Train | Epoch: 3 | Step: 230 / 442 | {'loss_reg': '0.6845', 'loss': '0.6845'}
Train | Epoch: 3 | Step: 240 / 442 | {'loss_reg': '2.3372', 'loss': '2.3372'}
Train | Epoch: 3 | Step: 250 / 442 | {'loss_reg': '1.0098', 'loss': '1.0098'}
Train | Epoch: 3 | Step: 260 / 442 | {'loss_reg': '3.0173', 'loss': '3.0173'}
Train | Epoch: 3 | Step: 270 / 442 | {'loss_reg': '1.5537', 'loss': '1.5537'}
Train | Epoch: 3 | Step: 280 / 442 | {'loss_reg': '1.3134', 'loss': '1.3134'}
Train | Epoch: 3 | Step: 290 / 442 | {'loss_reg': '0.7682', 'loss': '0.7682'}
Train | Epoch: 3 | Step: 300 / 442 | {'loss_reg': '0.6423', 'loss': '0.6423'}
Train | Epoch: 3 | Step: 310 / 442 | {'loss_reg': '3.0695', 'loss': '3.0695'}
Train | Epoch: 3 | Step: 320 / 442 | {'loss_reg': '3.5466', 'loss': '3.5466'}
Train | Epoch: 3 | Step: 330 / 442 | {'loss_reg': '2.8637', 'loss': '2.8637'}
Train | Epoch: 3 | Step: 340 / 442 | {'loss_reg': '0.4913', 'loss': '0.4913'}
Train | Epoch: 3 | Step: 350 / 442 | {'loss_reg': '2.1880', 'loss': '2.1880'}
Train | Epoch: 3 | Step: 360 / 442 | {'loss_reg': '3.4476', 'loss': '3.4476'}
Train | Epoch: 3 | Step: 370 / 442 | {'loss_reg': '1.4014', 'loss': '1.4014'}
Train | Epoch: 3 | Step: 380 / 442 | {'loss_reg': '2.2468', 'loss': '2.2468'}
Train | Epoch: 3 | Step: 390 / 442 | {'loss_reg': '0.4530', 'loss': '0.4530'}
Train | Epoch: 3 | Step: 400 / 442 | {'loss_reg': '1.3208', 'loss': '1.3208'}
Train | Epoch: 3 | Step: 410 / 442 | {'loss_reg': '0.3212', 'loss': '0.3212'}
Train | Epoch: 3 | Step: 420 / 442 | {'loss_reg': '1.7467', 'loss': '1.7467'}
Train | Epoch: 3 | Step: 430 / 442 | {'loss_reg': '3.0386', 'loss': '3.0386'}
Train | Epoch: 3 | Step: 440 / 442 | {'loss_reg': '1.6826', 'loss': '1.6826'}
Val | Epoch: 3 | {'rmse': '9.713', 'pearson': '0.966', 'r2': '0.932', 'spearmanr': '0.922'}
Train | Epoch: 4 | Step: 0 / 442 | {'loss_reg': '0.5090', 'loss': '0.5090'}
Train | Epoch: 4 | Step: 10 / 442 | {'loss_reg': '0.4364', 'loss': '0.4364'}
Train | Epoch: 4 | Step: 20 / 442 | {'loss_reg': '0.5979', 'loss': '0.5979'}
Train | Epoch: 4 | Step: 30 / 442 | {'loss_reg': '0.8346', 'loss': '0.8346'}
Train | Epoch: 4 | Step: 40 / 442 | {'loss_reg': '3.3509', 'loss': '3.3509'}
Train | Epoch: 4 | Step: 50 / 442 | {'loss_reg': '0.8995', 'loss': '0.8995'}
Train | Epoch: 4 | Step: 60 / 442 | {'loss_reg': '1.4384', 'loss': '1.4384'}
Train | Epoch: 4 | Step: 70 / 442 | {'loss_reg': '2.2040', 'loss': '2.2040'}
Train | Epoch: 4 | Step: 80 / 442 | {'loss_reg': '0.7071', 'loss': '0.7071'}
Train | Epoch: 4 | Step: 90 / 442 | {'loss_reg': '0.3169', 'loss': '0.3169'}
Train | Epoch: 4 | Step: 100 / 442 | {'loss_reg': '0.7841', 'loss': '0.7841'}
Train | Epoch: 4 | Step: 110 / 442 | {'loss_reg': '2.9800', 'loss': '2.9800'}
Train | Epoch: 4 | Step: 120 / 442 | {'loss_reg': '2.2648', 'loss': '2.2648'}
Train | Epoch: 4 | Step: 130 / 442 | {'loss_reg': '0.7656', 'loss': '0.7656'}
Train | Epoch: 4 | Step: 140 / 442 | {'loss_reg': '2.5613', 'loss': '2.5613'}
Train | Epoch: 4 | Step: 150 / 442 | {'loss_reg': '2.3269', 'loss': '2.3269'}
Train | Epoch: 4 | Step: 160 / 442 | {'loss_reg': '0.4601', 'loss': '0.4601'}
Train | Epoch: 4 | Step: 170 / 442 | {'loss_reg': '1.2548', 'loss': '1.2548'}
Train | Epoch: 4 | Step: 180 / 442 | {'loss_reg': '2.2146', 'loss': '2.2146'}
Train | Epoch: 4 | Step: 190 / 442 | {'loss_reg': '0.6615', 'loss': '0.6615'}
Train | Epoch: 4 | Step: 200 / 442 | {'loss_reg': '6.1964', 'loss': '6.1964'}
Train | Epoch: 4 | Step: 210 / 442 | {'loss_reg': '1.1070', 'loss': '1.1070'}
Train | Epoch: 4 | Step: 220 / 442 | {'loss_reg': '1.4707', 'loss': '1.4707'}
Train | Epoch: 4 | Step: 230 / 442 | {'loss_reg': '2.8749', 'loss': '2.8749'}
Train | Epoch: 4 | Step: 240 / 442 | {'loss_reg': '2.7845', 'loss': '2.7845'}
Train | Epoch: 4 | Step: 250 / 442 | {'loss_reg': '0.9676', 'loss': '0.9676'}
Train | Epoch: 4 | Step: 260 / 442 | {'loss_reg': '1.4497', 'loss': '1.4497'}
Train | Epoch: 4 | Step: 270 / 442 | {'loss_reg': '2.2627', 'loss': '2.2627'}
Train | Epoch: 4 | Step: 280 / 442 | {'loss_reg': '0.5303', 'loss': '0.5303'}
Train | Epoch: 4 | Step: 290 / 442 | {'loss_reg': '1.3645', 'loss': '1.3645'}
