SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '20.9417', 'loss_triplet': '1.0621', 'loss': '22.0039'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '10.3510', 'loss_triplet': '0.5923', 'loss': '10.9433'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '10.7254', 'loss_triplet': '0.4360', 'loss': '11.1613'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '12.0334', 'loss_triplet': '0.2779', 'loss': '12.3113'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '9.0511', 'loss_triplet': '0.1906', 'loss': '9.2417'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '3.0780', 'loss_triplet': '0.0868', 'loss': '3.1647'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '5.4176', 'loss_triplet': '0.1471', 'loss': '5.5647'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '3.7994', 'loss_triplet': '0.1205', 'loss': '3.9199'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '3.3057', 'loss_triplet': '0.1508', 'loss': '3.4565'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '5.7244', 'loss_triplet': '0.0910', 'loss': '5.8154'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '6.8435', 'loss_triplet': '0.1414', 'loss': '6.9849'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '6.5051', 'loss_triplet': '0.1278', 'loss': '6.6329'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '8.9908', 'loss_triplet': '0.0801', 'loss': '9.0709'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '5.4596', 'loss_triplet': '0.0745', 'loss': '5.5341'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '7.2216', 'loss_triplet': '0.0773', 'loss': '7.2989'}
