SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '17.5242', 'loss_triplet': '1.0215', 'loss': '18.5457'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '10.3903', 'loss_triplet': '0.8219', 'loss': '11.2122'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '8.1465', 'loss_triplet': '0.6367', 'loss': '8.7832'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '11.1654', 'loss_triplet': '0.4551', 'loss': '11.6205'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '8.7955', 'loss_triplet': '0.3075', 'loss': '9.1030'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '4.1969', 'loss_triplet': '0.2358', 'loss': '4.4327'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '8.1244', 'loss_triplet': '0.1760', 'loss': '8.3004'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '7.3072', 'loss_triplet': '0.1345', 'loss': '7.4416'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '10.8443', 'loss_triplet': '0.2215', 'loss': '11.0658'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '7.4264', 'loss_triplet': '0.1286', 'loss': '7.5550'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '7.2927', 'loss_triplet': '0.1074', 'loss': '7.4001'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '3.6891', 'loss_triplet': '0.1289', 'loss': '3.8181'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '3.1883', 'loss_triplet': '0.1342', 'loss': '3.3226'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '5.5085', 'loss_triplet': '0.1370', 'loss': '5.6455'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '6.3840', 'loss_triplet': '0.0660', 'loss': '6.4500'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '6.7550', 'loss_triplet': '0.1017', 'loss': '6.8567'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '4.6285', 'loss_triplet': '0.0780', 'loss': '4.7064'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '4.5911', 'loss_triplet': '0.1189', 'loss': '4.7099'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '4.9034', 'loss_triplet': '0.1281', 'loss': '5.0315'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '6.7266', 'loss_triplet': '0.2023', 'loss': '6.9289'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '6.5985', 'loss_triplet': '0.1057', 'loss': '6.7042'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '3.8409', 'loss_triplet': '0.0840', 'loss': '3.9248'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '5.3799', 'loss_triplet': '0.0894', 'loss': '5.4694'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '2.5362', 'loss_triplet': '0.0895', 'loss': '2.6257'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '2.2595', 'loss_triplet': '0.0664', 'loss': '2.3259'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '6.2986', 'loss_triplet': '0.0728', 'loss': '6.3715'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '4.9904', 'loss_triplet': '0.1004', 'loss': '5.0908'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '2.9145', 'loss_triplet': '0.1046', 'loss': '3.0191'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '1.6093', 'loss_triplet': '0.0811', 'loss': '1.6904'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '3.5909', 'loss_triplet': '0.0869', 'loss': '3.6778'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '1.4773', 'loss_triplet': '0.0731', 'loss': '1.5504'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '2.5699', 'loss_triplet': '0.0570', 'loss': '2.6269'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '1.7904', 'loss_triplet': '0.0870', 'loss': '1.8775'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '5.7383', 'loss_triplet': '0.0714', 'loss': '5.8097'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '1.6397', 'loss_triplet': '0.0794', 'loss': '1.7191'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '3.9943', 'loss_triplet': '0.2332', 'loss': '4.2275'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '1.7335', 'loss_triplet': '0.0606', 'loss': '1.7942'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '1.0226', 'loss_triplet': '0.0751', 'loss': '1.0977'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '3.2358', 'loss_triplet': '0.0607', 'loss': '3.2965'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '9.3056', 'loss_triplet': '0.1000', 'loss': '9.4055'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '3.3259', 'loss_triplet': '0.1167', 'loss': '3.4425'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '2.8146', 'loss_triplet': '0.0765', 'loss': '2.8911'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '2.3469', 'loss_triplet': '0.0576', 'loss': '2.4045'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '0.9684', 'loss_triplet': '0.0421', 'loss': '1.0105'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '1.0574', 'loss_triplet': '0.1562', 'loss': '1.2136'}
Val | Epoch: 1 | {'rmse': '14.080', 'pearson': '0.945', 'r2': '0.857', 'spearmanr': '0.912'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.4930', 'loss_triplet': '0.0761', 'loss': '2.5690'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '3.8028', 'loss_triplet': '0.1836', 'loss': '3.9865'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '2.9460', 'loss_triplet': '0.0564', 'loss': '3.0024'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '3.5995', 'loss_triplet': '0.0988', 'loss': '3.6983'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '3.8725', 'loss_triplet': '0.0749', 'loss': '3.9474'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '1.2656', 'loss_triplet': '0.0909', 'loss': '1.3565'}
