SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '10.5847', 'loss_triplet': '0.2100', 'loss': '10.7947'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '11.3922', 'loss_triplet': '0.1828', 'loss': '11.5749'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '10.8281', 'loss_triplet': '0.1837', 'loss': '11.0118'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '8.5022', 'loss_triplet': '0.1621', 'loss': '8.6643'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '9.0182', 'loss_triplet': '0.2067', 'loss': '9.2249'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '7.1572', 'loss_triplet': '0.1474', 'loss': '7.3046'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '8.6733', 'loss_triplet': '0.1203', 'loss': '8.7936'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '2.8817', 'loss_triplet': '0.1097', 'loss': '2.9913'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '9.9691', 'loss_triplet': '0.1115', 'loss': '10.0806'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '7.6600', 'loss_triplet': '0.0764', 'loss': '7.7364'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '1.7415', 'loss_triplet': '0.1175', 'loss': '1.8590'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '6.5276', 'loss_triplet': '0.0894', 'loss': '6.6170'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '8.3356', 'loss_triplet': '0.1041', 'loss': '8.4397'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '9.0395', 'loss_triplet': '0.1059', 'loss': '9.1454'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '6.7382', 'loss_triplet': '0.0915', 'loss': '6.8297'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '7.3577', 'loss_triplet': '0.1619', 'loss': '7.5196'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '6.2157', 'loss_triplet': '0.0912', 'loss': '6.3069'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '2.7505', 'loss_triplet': '0.0497', 'loss': '2.8002'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '3.8172', 'loss_triplet': '0.0932', 'loss': '3.9104'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '6.5609', 'loss_triplet': '0.1169', 'loss': '6.6777'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '4.0592', 'loss_triplet': '0.0656', 'loss': '4.1248'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '0.6448', 'loss_triplet': '0.0862', 'loss': '0.7310'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '1.2860', 'loss_triplet': '0.0804', 'loss': '1.3664'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '2.1047', 'loss_triplet': '0.0875', 'loss': '2.1922'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '3.0729', 'loss_triplet': '0.0610', 'loss': '3.1339'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '2.7396', 'loss_triplet': '0.0730', 'loss': '2.8126'}
