SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '19.1289', 'loss_triplet': '0.9696', 'loss': '20.0985'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '14.0908', 'loss_triplet': '0.5744', 'loss': '14.6652'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '13.8298', 'loss_triplet': '0.4368', 'loss': '14.2666'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '8.2947', 'loss_triplet': '0.2700', 'loss': '8.5648'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '7.5145', 'loss_triplet': '0.2402', 'loss': '7.7546'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '10.3813', 'loss_triplet': '0.0824', 'loss': '10.4637'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '6.7791', 'loss_triplet': '0.1047', 'loss': '6.8838'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '3.5343', 'loss_triplet': '0.0722', 'loss': '3.6065'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '6.7696', 'loss_triplet': '0.0822', 'loss': '6.8519'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '6.6405', 'loss_triplet': '0.1429', 'loss': '6.7834'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '2.6845', 'loss_triplet': '0.1289', 'loss': '2.8135'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '2.9240', 'loss_triplet': '0.1205', 'loss': '3.0445'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '0.9378', 'loss_triplet': '0.0522', 'loss': '0.9900'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '3.2640', 'loss_triplet': '0.0611', 'loss': '3.3251'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '3.0727', 'loss_triplet': '0.0736', 'loss': '3.1462'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '1.7656', 'loss_triplet': '0.1260', 'loss': '1.8917'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '0.8400', 'loss_triplet': '0.1290', 'loss': '0.9690'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '1.9303', 'loss_triplet': '0.0498', 'loss': '1.9801'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '9.2901', 'loss_triplet': '0.0696', 'loss': '9.3597'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '2.8142', 'loss_triplet': '0.0475', 'loss': '2.8617'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '2.6343', 'loss_triplet': '0.0841', 'loss': '2.7185'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '0.9410', 'loss_triplet': '0.1190', 'loss': '1.0599'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '1.4417', 'loss_triplet': '0.0476', 'loss': '1.4894'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '4.5797', 'loss_triplet': '0.0549', 'loss': '4.6346'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '1.5158', 'loss_triplet': '0.0323', 'loss': '1.5481'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '0.5825', 'loss_triplet': '0.0431', 'loss': '0.6256'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '4.2527', 'loss_triplet': '0.0925', 'loss': '4.3452'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '1.0660', 'loss_triplet': '0.0400', 'loss': '1.1061'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '1.5913', 'loss_triplet': '0.0907', 'loss': '1.6819'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '7.5176', 'loss_triplet': '0.1128', 'loss': '7.6304'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '2.5886', 'loss_triplet': '0.0507', 'loss': '2.6393'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '2.3390', 'loss_triplet': '0.0518', 'loss': '2.3908'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '1.3495', 'loss_triplet': '0.1856', 'loss': '1.5352'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '3.6593', 'loss_triplet': '0.0399', 'loss': '3.6992'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '0.9032', 'loss_triplet': '0.0787', 'loss': '0.9819'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '2.5160', 'loss_triplet': '0.0896', 'loss': '2.6056'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '5.6252', 'loss_triplet': '0.0478', 'loss': '5.6729'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '1.4389', 'loss_triplet': '0.0348', 'loss': '1.4736'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '1.1455', 'loss_triplet': '0.0543', 'loss': '1.1998'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '2.2584', 'loss_triplet': '0.0369', 'loss': '2.2952'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '2.2704', 'loss_triplet': '0.0725', 'loss': '2.3428'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '5.3231', 'loss_triplet': '0.0314', 'loss': '5.3545'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '2.9508', 'loss_triplet': '0.0247', 'loss': '2.9754'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '2.2230', 'loss_triplet': '0.0383', 'loss': '2.2612'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '1.0233', 'loss_triplet': '0.0542', 'loss': '1.0775'}
Val | Epoch: 1 | {'rmse': '10.897', 'pearson': '0.961', 'r2': '0.915', 'spearmanr': '0.916'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.9429', 'loss_triplet': '0.0518', 'loss': '2.9947'}
