SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '9.9048', 'loss': '9.9048'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '13.2543', 'loss': '13.2543'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '12.2661', 'loss': '12.2661'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '12.3643', 'loss': '12.3643'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '8.1755', 'loss': '8.1755'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '11.3300', 'loss': '11.3300'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '8.4232', 'loss': '8.4232'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '10.4683', 'loss': '10.4683'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '11.9879', 'loss': '11.9879'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '10.8240', 'loss': '10.8240'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '16.0540', 'loss': '16.0540'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '9.5231', 'loss': '9.5231'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '9.8655', 'loss': '9.8655'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '3.0264', 'loss': '3.0264'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '7.6340', 'loss': '7.6340'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '2.3337', 'loss': '2.3337'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '7.1445', 'loss': '7.1445'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '9.1466', 'loss': '9.1466'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '11.7240', 'loss': '11.7240'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '0.9005', 'loss': '0.9005'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '9.7565', 'loss': '9.7565'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '6.8981', 'loss': '6.8981'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '11.1765', 'loss': '11.1765'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '2.2872', 'loss': '2.2872'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '10.7775', 'loss': '10.7775'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '10.3289', 'loss': '10.3289'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '7.1302', 'loss': '7.1302'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '5.0990', 'loss': '5.0990'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '12.2056', 'loss': '12.2056'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '10.2381', 'loss': '10.2381'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '9.3169', 'loss': '9.3169'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '4.4356', 'loss': '4.4356'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '7.2927', 'loss': '7.2927'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '5.4160', 'loss': '5.4160'}
Train | Epoch: 1 | Step: 340 / 443 | {'loss_reg': '5.6825', 'loss': '5.6825'}
Train | Epoch: 1 | Step: 350 / 443 | {'loss_reg': '4.5879', 'loss': '4.5879'}
Train | Epoch: 1 | Step: 360 / 443 | {'loss_reg': '9.2163', 'loss': '9.2163'}
Train | Epoch: 1 | Step: 370 / 443 | {'loss_reg': '7.7979', 'loss': '7.7979'}
Train | Epoch: 1 | Step: 380 / 443 | {'loss_reg': '2.7649', 'loss': '2.7649'}
Train | Epoch: 1 | Step: 390 / 443 | {'loss_reg': '7.6892', 'loss': '7.6892'}
Train | Epoch: 1 | Step: 400 / 443 | {'loss_reg': '6.5704', 'loss': '6.5704'}
Train | Epoch: 1 | Step: 410 / 443 | {'loss_reg': '8.9820', 'loss': '8.9820'}
Train | Epoch: 1 | Step: 420 / 443 | {'loss_reg': '4.5983', 'loss': '4.5983'}
Train | Epoch: 1 | Step: 430 / 443 | {'loss_reg': '6.4047', 'loss': '6.4047'}
Train | Epoch: 1 | Step: 440 / 443 | {'loss_reg': '5.4498', 'loss': '5.4498'}
Val | Epoch: 1 | {'rmse': '26.737', 'pearson': '0.921', 'r2': '0.474', 'spearmanr': '0.918'}
Train | Epoch: 2 | Step: 0 / 443 | {'loss_reg': '9.7428', 'loss': '9.7428'}
Train | Epoch: 2 | Step: 10 / 443 | {'loss_reg': '7.9727', 'loss': '7.9727'}
Train | Epoch: 2 | Step: 20 / 443 | {'loss_reg': '7.1269', 'loss': '7.1269'}
Train | Epoch: 2 | Step: 30 / 443 | {'loss_reg': '6.6878', 'loss': '6.6878'}
Train | Epoch: 2 | Step: 40 / 443 | {'loss_reg': '5.5901', 'loss': '5.5901'}
Train | Epoch: 2 | Step: 50 / 443 | {'loss_reg': '5.7759', 'loss': '5.7759'}
Train | Epoch: 2 | Step: 60 / 443 | {'loss_reg': '4.8910', 'loss': '4.8910'}
Train | Epoch: 2 | Step: 70 / 443 | {'loss_reg': '5.7436', 'loss': '5.7436'}
Train | Epoch: 2 | Step: 80 / 443 | {'loss_reg': '6.2341', 'loss': '6.2341'}
Train | Epoch: 2 | Step: 90 / 443 | {'loss_reg': '4.8953', 'loss': '4.8953'}
Train | Epoch: 2 | Step: 100 / 443 | {'loss_reg': '4.4619', 'loss': '4.4619'}
Train | Epoch: 2 | Step: 110 / 443 | {'loss_reg': '2.6347', 'loss': '2.6347'}
Train | Epoch: 2 | Step: 120 / 443 | {'loss_reg': '6.3179', 'loss': '6.3179'}
Train | Epoch: 2 | Step: 130 / 443 | {'loss_reg': '1.1385', 'loss': '1.1385'}
Train | Epoch: 2 | Step: 140 / 443 | {'loss_reg': '5.7071', 'loss': '5.7071'}
Train | Epoch: 2 | Step: 150 / 443 | {'loss_reg': '3.5993', 'loss': '3.5993'}
Train | Epoch: 2 | Step: 160 / 443 | {'loss_reg': '5.6519', 'loss': '5.6519'}
Train | Epoch: 2 | Step: 170 / 443 | {'loss_reg': '3.4959', 'loss': '3.4959'}
Train | Epoch: 2 | Step: 180 / 443 | {'loss_reg': '2.8194', 'loss': '2.8194'}
Train | Epoch: 2 | Step: 190 / 443 | {'loss_reg': '4.3510', 'loss': '4.3510'}
Train | Epoch: 2 | Step: 200 / 443 | {'loss_reg': '1.3092', 'loss': '1.3092'}
Train | Epoch: 2 | Step: 210 / 443 | {'loss_reg': '3.8392', 'loss': '3.8392'}
Train | Epoch: 2 | Step: 220 / 443 | {'loss_reg': '2.6155', 'loss': '2.6155'}
Train | Epoch: 2 | Step: 230 / 443 | {'loss_reg': '2.6656', 'loss': '2.6656'}
Train | Epoch: 2 | Step: 240 / 443 | {'loss_reg': '6.0940', 'loss': '6.0940'}
Train | Epoch: 2 | Step: 250 / 443 | {'loss_reg': '2.7230', 'loss': '2.7230'}
Train | Epoch: 2 | Step: 260 / 443 | {'loss_reg': '8.2478', 'loss': '8.2478'}
Train | Epoch: 2 | Step: 270 / 443 | {'loss_reg': '2.1512', 'loss': '2.1512'}
Train | Epoch: 2 | Step: 280 / 443 | {'loss_reg': '6.6189', 'loss': '6.6189'}
Train | Epoch: 2 | Step: 290 / 443 | {'loss_reg': '2.8239', 'loss': '2.8239'}
Train | Epoch: 2 | Step: 300 / 443 | {'loss_reg': '2.0166', 'loss': '2.0166'}
Train | Epoch: 2 | Step: 310 / 443 | {'loss_reg': '8.5657', 'loss': '8.5657'}
Train | Epoch: 2 | Step: 320 / 443 | {'loss_reg': '3.3059', 'loss': '3.3059'}
Train | Epoch: 2 | Step: 330 / 443 | {'loss_reg': '4.2209', 'loss': '4.2209'}
Train | Epoch: 2 | Step: 340 / 443 | {'loss_reg': '2.0376', 'loss': '2.0376'}
Train | Epoch: 2 | Step: 350 / 443 | {'loss_reg': '10.1708', 'loss': '10.1708'}
Train | Epoch: 2 | Step: 360 / 443 | {'loss_reg': '2.0806', 'loss': '2.0806'}
Train | Epoch: 2 | Step: 370 / 443 | {'loss_reg': '1.7104', 'loss': '1.7104'}
Train | Epoch: 2 | Step: 380 / 443 | {'loss_reg': '1.5650', 'loss': '1.5650'}
Train | Epoch: 2 | Step: 390 / 443 | {'loss_reg': '1.5074', 'loss': '1.5074'}
Train | Epoch: 2 | Step: 400 / 443 | {'loss_reg': '4.1951', 'loss': '4.1951'}
Train | Epoch: 2 | Step: 410 / 443 | {'loss_reg': '1.0322', 'loss': '1.0322'}
Train | Epoch: 2 | Step: 420 / 443 | {'loss_reg': '2.6846', 'loss': '2.6846'}
Train | Epoch: 2 | Step: 430 / 443 | {'loss_reg': '3.6175', 'loss': '3.6175'}
Train | Epoch: 2 | Step: 440 / 443 | {'loss_reg': '1.4699', 'loss': '1.4699'}
Val | Epoch: 2 | {'rmse': '15.109', 'pearson': '0.925', 'r2': '0.832', 'spearmanr': '0.904'}
Train | Epoch: 3 | Step: 0 / 443 | {'loss_reg': '2.1751', 'loss': '2.1751'}
Train | Epoch: 3 | Step: 10 / 443 | {'loss_reg': '1.2991', 'loss': '1.2991'}
Train | Epoch: 3 | Step: 20 / 443 | {'loss_reg': '1.7697', 'loss': '1.7697'}
Train | Epoch: 3 | Step: 30 / 443 | {'loss_reg': '0.7606', 'loss': '0.7606'}
Train | Epoch: 3 | Step: 40 / 443 | {'loss_reg': '0.8655', 'loss': '0.8655'}
Train | Epoch: 3 | Step: 50 / 443 | {'loss_reg': '1.0727', 'loss': '1.0727'}
Train | Epoch: 3 | Step: 60 / 443 | {'loss_reg': '1.7735', 'loss': '1.7735'}
Train | Epoch: 3 | Step: 70 / 443 | {'loss_reg': '2.7535', 'loss': '2.7535'}
Train | Epoch: 3 | Step: 80 / 443 | {'loss_reg': '2.1047', 'loss': '2.1047'}
Train | Epoch: 3 | Step: 90 / 443 | {'loss_reg': '10.4867', 'loss': '10.4867'}
Train | Epoch: 3 | Step: 100 / 443 | {'loss_reg': '1.5747', 'loss': '1.5747'}
Train | Epoch: 3 | Step: 110 / 443 | {'loss_reg': '2.4603', 'loss': '2.4603'}
Train | Epoch: 3 | Step: 120 / 443 | {'loss_reg': '0.8432', 'loss': '0.8432'}
Train | Epoch: 3 | Step: 130 / 443 | {'loss_reg': '7.0201', 'loss': '7.0201'}
Train | Epoch: 3 | Step: 140 / 443 | {'loss_reg': '4.0987', 'loss': '4.0987'}
Train | Epoch: 3 | Step: 150 / 443 | {'loss_reg': '0.6370', 'loss': '0.6370'}
Train | Epoch: 3 | Step: 160 / 443 | {'loss_reg': '3.1070', 'loss': '3.1070'}
Train | Epoch: 3 | Step: 170 / 443 | {'loss_reg': '6.8935', 'loss': '6.8935'}
Train | Epoch: 3 | Step: 180 / 443 | {'loss_reg': '1.8454', 'loss': '1.8454'}
Train | Epoch: 3 | Step: 190 / 443 | {'loss_reg': '2.4084', 'loss': '2.4084'}
Train | Epoch: 3 | Step: 200 / 443 | {'loss_reg': '1.3665', 'loss': '1.3665'}
Train | Epoch: 3 | Step: 210 / 443 | {'loss_reg': '3.5675', 'loss': '3.5675'}
Train | Epoch: 3 | Step: 220 / 443 | {'loss_reg': '0.9503', 'loss': '0.9503'}
Train | Epoch: 3 | Step: 230 / 443 | {'loss_reg': '1.7365', 'loss': '1.7365'}
Train | Epoch: 3 | Step: 240 / 443 | {'loss_reg': '0.3264', 'loss': '0.3264'}
Train | Epoch: 3 | Step: 250 / 443 | {'loss_reg': '7.0276', 'loss': '7.0276'}
Train | Epoch: 3 | Step: 260 / 443 | {'loss_reg': '0.5527', 'loss': '0.5527'}
Train | Epoch: 3 | Step: 270 / 443 | {'loss_reg': '0.1870', 'loss': '0.1870'}
Train | Epoch: 3 | Step: 280 / 443 | {'loss_reg': '0.7942', 'loss': '0.7942'}
Train | Epoch: 3 | Step: 290 / 443 | {'loss_reg': '0.2451', 'loss': '0.2451'}
Train | Epoch: 3 | Step: 300 / 443 | {'loss_reg': '0.2997', 'loss': '0.2997'}
Train | Epoch: 3 | Step: 310 / 443 | {'loss_reg': '1.7566', 'loss': '1.7566'}
Train | Epoch: 3 | Step: 320 / 443 | {'loss_reg': '2.4320', 'loss': '2.4320'}
Train | Epoch: 3 | Step: 330 / 443 | {'loss_reg': '2.2649', 'loss': '2.2649'}
Train | Epoch: 3 | Step: 340 / 443 | {'loss_reg': '2.3333', 'loss': '2.3333'}
Train | Epoch: 3 | Step: 350 / 443 | {'loss_reg': '1.1138', 'loss': '1.1138'}
Train | Epoch: 3 | Step: 360 / 443 | {'loss_reg': '0.6989', 'loss': '0.6989'}
Train | Epoch: 3 | Step: 370 / 443 | {'loss_reg': '2.7918', 'loss': '2.7918'}
Train | Epoch: 3 | Step: 380 / 443 | {'loss_reg': '1.9769', 'loss': '1.9769'}
Train | Epoch: 3 | Step: 390 / 443 | {'loss_reg': '0.4322', 'loss': '0.4322'}
Train | Epoch: 3 | Step: 400 / 443 | {'loss_reg': '8.5240', 'loss': '8.5240'}
Train | Epoch: 3 | Step: 410 / 443 | {'loss_reg': '1.4745', 'loss': '1.4745'}
Train | Epoch: 3 | Step: 420 / 443 | {'loss_reg': '1.5215', 'loss': '1.5215'}
Train | Epoch: 3 | Step: 430 / 443 | {'loss_reg': '1.4947', 'loss': '1.4947'}
