SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '17.5821', 'loss': '17.5821'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '16.8639', 'loss': '16.8639'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '11.9130', 'loss': '11.9130'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '10.1043', 'loss': '10.1043'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '8.5406', 'loss': '8.5406'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '8.6963', 'loss': '8.6963'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '11.5750', 'loss': '11.5750'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '15.4375', 'loss': '15.4375'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '8.2048', 'loss': '8.2048'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '11.1897', 'loss': '11.1897'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '9.9892', 'loss': '9.9892'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '2.5805', 'loss': '2.5805'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '14.2217', 'loss': '14.2217'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '10.7990', 'loss': '10.7990'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '10.0290', 'loss': '10.0290'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '9.7714', 'loss': '9.7714'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '10.5816', 'loss': '10.5816'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '9.7012', 'loss': '9.7012'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '12.2402', 'loss': '12.2402'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '10.5044', 'loss': '10.5044'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '8.6004', 'loss': '8.6004'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '10.7837', 'loss': '10.7837'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '6.7094', 'loss': '6.7094'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '10.7859', 'loss': '10.7859'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '5.2930', 'loss': '5.2930'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '2.2193', 'loss': '2.2193'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '5.9196', 'loss': '5.9196'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '8.2845', 'loss': '8.2845'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '9.4026', 'loss': '9.4026'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '5.6736', 'loss': '5.6736'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '12.1582', 'loss': '12.1582'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '3.7742', 'loss': '3.7742'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '10.7277', 'loss': '10.7277'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '6.6096', 'loss': '6.6096'}
Train | Epoch: 1 | Step: 340 / 443 | {'loss_reg': '9.0277', 'loss': '9.0277'}
Train | Epoch: 1 | Step: 350 / 443 | {'loss_reg': '5.4028', 'loss': '5.4028'}
Train | Epoch: 1 | Step: 360 / 443 | {'loss_reg': '10.6579', 'loss': '10.6579'}
Train | Epoch: 1 | Step: 370 / 443 | {'loss_reg': '5.6351', 'loss': '5.6351'}
Train | Epoch: 1 | Step: 380 / 443 | {'loss_reg': '7.6952', 'loss': '7.6952'}
Train | Epoch: 1 | Step: 390 / 443 | {'loss_reg': '7.2237', 'loss': '7.2237'}
Train | Epoch: 1 | Step: 400 / 443 | {'loss_reg': '8.9739', 'loss': '8.9739'}
Train | Epoch: 1 | Step: 410 / 443 | {'loss_reg': '2.4306', 'loss': '2.4306'}
Train | Epoch: 1 | Step: 420 / 443 | {'loss_reg': '2.0424', 'loss': '2.0424'}
Train | Epoch: 1 | Step: 430 / 443 | {'loss_reg': '8.1024', 'loss': '8.1024'}
Train | Epoch: 1 | Step: 440 / 443 | {'loss_reg': '8.6559', 'loss': '8.6559'}
Val | Epoch: 1 | {'rmse': '28.263', 'pearson': '0.916', 'r2': '0.445', 'spearmanr': '0.922'}
Train | Epoch: 2 | Step: 0 / 443 | {'loss_reg': '12.0192', 'loss': '12.0192'}
Train | Epoch: 2 | Step: 10 / 443 | {'loss_reg': '8.6915', 'loss': '8.6915'}
Train | Epoch: 2 | Step: 20 / 443 | {'loss_reg': '7.4980', 'loss': '7.4980'}
Train | Epoch: 2 | Step: 30 / 443 | {'loss_reg': '9.3275', 'loss': '9.3275'}
Train | Epoch: 2 | Step: 40 / 443 | {'loss_reg': '1.7827', 'loss': '1.7827'}
Train | Epoch: 2 | Step: 50 / 443 | {'loss_reg': '6.6913', 'loss': '6.6913'}
Train | Epoch: 2 | Step: 60 / 443 | {'loss_reg': '6.8505', 'loss': '6.8505'}
Train | Epoch: 2 | Step: 70 / 443 | {'loss_reg': '4.4555', 'loss': '4.4555'}
Train | Epoch: 2 | Step: 80 / 443 | {'loss_reg': '6.8326', 'loss': '6.8326'}
Train | Epoch: 2 | Step: 90 / 443 | {'loss_reg': '6.4330', 'loss': '6.4330'}
Train | Epoch: 2 | Step: 100 / 443 | {'loss_reg': '0.8541', 'loss': '0.8541'}
Train | Epoch: 2 | Step: 110 / 443 | {'loss_reg': '7.2829', 'loss': '7.2829'}
Train | Epoch: 2 | Step: 120 / 443 | {'loss_reg': '7.0845', 'loss': '7.0845'}
Train | Epoch: 2 | Step: 130 / 443 | {'loss_reg': '4.2116', 'loss': '4.2116'}
Train | Epoch: 2 | Step: 140 / 443 | {'loss_reg': '4.3337', 'loss': '4.3337'}
Train | Epoch: 2 | Step: 150 / 443 | {'loss_reg': '0.3250', 'loss': '0.3250'}
Train | Epoch: 2 | Step: 160 / 443 | {'loss_reg': '5.0566', 'loss': '5.0566'}
Train | Epoch: 2 | Step: 170 / 443 | {'loss_reg': '3.1820', 'loss': '3.1820'}
Train | Epoch: 2 | Step: 180 / 443 | {'loss_reg': '4.5580', 'loss': '4.5580'}
Train | Epoch: 2 | Step: 190 / 443 | {'loss_reg': '2.9331', 'loss': '2.9331'}
Train | Epoch: 2 | Step: 200 / 443 | {'loss_reg': '2.8784', 'loss': '2.8784'}
Train | Epoch: 2 | Step: 210 / 443 | {'loss_reg': '3.1153', 'loss': '3.1153'}
Train | Epoch: 2 | Step: 220 / 443 | {'loss_reg': '5.6127', 'loss': '5.6127'}
Train | Epoch: 2 | Step: 230 / 443 | {'loss_reg': '2.6850', 'loss': '2.6850'}
