SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '8.7055', 'loss': '8.7055'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '15.8361', 'loss': '15.8361'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '9.5782', 'loss': '9.5782'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '8.2265', 'loss': '8.2265'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '9.9399', 'loss': '9.9399'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '10.3297', 'loss': '10.3297'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '7.3019', 'loss': '7.3019'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '8.6506', 'loss': '8.6506'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '8.0773', 'loss': '8.0773'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '5.5467', 'loss': '5.5467'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '5.3752', 'loss': '5.3752'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '6.3521', 'loss': '6.3521'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '4.0906', 'loss': '4.0906'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '4.3701', 'loss': '4.3701'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '6.8726', 'loss': '6.8726'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '6.8064', 'loss': '6.8064'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '6.2651', 'loss': '6.2651'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '4.5116', 'loss': '4.5116'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '3.9620', 'loss': '3.9620'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '3.7978', 'loss': '3.7978'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '3.9361', 'loss': '3.9361'}
