SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '14.8525', 'loss_triplet': '1.0031', 'loss': '15.8556'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '10.6024', 'loss_triplet': '0.5914', 'loss': '11.1939'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '13.1230', 'loss_triplet': '0.3484', 'loss': '13.4714'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '7.0980', 'loss_triplet': '0.2671', 'loss': '7.3651'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '10.2290', 'loss_triplet': '0.1956', 'loss': '10.4246'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '7.5113', 'loss_triplet': '0.1078', 'loss': '7.6191'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '7.2990', 'loss_triplet': '0.1793', 'loss': '7.4783'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '4.5693', 'loss_triplet': '0.0984', 'loss': '4.6677'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '3.3041', 'loss_triplet': '0.0650', 'loss': '3.3691'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '4.4356', 'loss_triplet': '0.0803', 'loss': '4.5159'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '2.3235', 'loss_triplet': '0.0533', 'loss': '2.3769'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '1.7802', 'loss_triplet': '0.1143', 'loss': '1.8945'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '3.5722', 'loss_triplet': '0.1057', 'loss': '3.6779'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '4.8704', 'loss_triplet': '0.1300', 'loss': '5.0005'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '4.0271', 'loss_triplet': '0.0639', 'loss': '4.0911'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '3.1723', 'loss_triplet': '0.0718', 'loss': '3.2440'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '2.8427', 'loss_triplet': '0.0637', 'loss': '2.9064'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '4.4833', 'loss_triplet': '0.0597', 'loss': '4.5429'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '1.9633', 'loss_triplet': '0.1012', 'loss': '2.0645'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '1.8982', 'loss_triplet': '0.1364', 'loss': '2.0345'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '2.3888', 'loss_triplet': '0.0663', 'loss': '2.4551'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '4.0688', 'loss_triplet': '0.0779', 'loss': '4.1466'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '5.6732', 'loss_triplet': '0.0486', 'loss': '5.7218'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '2.5569', 'loss_triplet': '0.0362', 'loss': '2.5930'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '1.5494', 'loss_triplet': '0.0830', 'loss': '1.6323'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '0.8385', 'loss_triplet': '0.0422', 'loss': '0.8807'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '1.4909', 'loss_triplet': '0.0536', 'loss': '1.5445'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '3.4820', 'loss_triplet': '0.0494', 'loss': '3.5314'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '4.1983', 'loss_triplet': '0.0428', 'loss': '4.2411'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '1.6643', 'loss_triplet': '0.0529', 'loss': '1.7171'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '3.3369', 'loss_triplet': '0.0731', 'loss': '3.4100'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '2.3740', 'loss_triplet': '0.0446', 'loss': '2.4186'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '2.0802', 'loss_triplet': '0.0818', 'loss': '2.1620'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '2.5121', 'loss_triplet': '0.0904', 'loss': '2.6025'}
