SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '17.4254', 'loss': '17.4254'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '13.0583', 'loss': '13.0583'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '11.4039', 'loss': '11.4039'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '8.4733', 'loss': '8.4733'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '7.9793', 'loss': '7.9793'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '7.6995', 'loss': '7.6995'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '7.0580', 'loss': '7.0580'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '8.6844', 'loss': '8.6844'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '9.7214', 'loss': '9.7214'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '7.2702', 'loss': '7.2702'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '8.3046', 'loss': '8.3046'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '4.5693', 'loss': '4.5693'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '3.7287', 'loss': '3.7287'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '3.5595', 'loss': '3.5595'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '3.2026', 'loss': '3.2026'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '3.3281', 'loss': '3.3281'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '1.8331', 'loss': '1.8331'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '3.6439', 'loss': '3.6439'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '5.1234', 'loss': '5.1234'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '5.9231', 'loss': '5.9231'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '2.5233', 'loss': '2.5233'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '3.6059', 'loss': '3.6059'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '1.6248', 'loss': '1.6248'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '1.5306', 'loss': '1.5306'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '2.9213', 'loss': '2.9213'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '2.2729', 'loss': '2.2729'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '2.1310', 'loss': '2.1310'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '2.8238', 'loss': '2.8238'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '8.1261', 'loss': '8.1261'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '2.0324', 'loss': '2.0324'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '2.3098', 'loss': '2.3098'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '1.4137', 'loss': '1.4137'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '1.4125', 'loss': '1.4125'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '3.9328', 'loss': '3.9328'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '1.4892', 'loss': '1.4892'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '3.8939', 'loss': '3.8939'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '2.0015', 'loss': '2.0015'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '4.9408', 'loss': '4.9408'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '1.7606', 'loss': '1.7606'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '2.7862', 'loss': '2.7862'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '1.2735', 'loss': '1.2735'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '1.4143', 'loss': '1.4143'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '2.7976', 'loss': '2.7976'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '3.2674', 'loss': '3.2674'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '2.7334', 'loss': '2.7334'}
Val | Epoch: 1 | {'rmse': '16.402', 'pearson': '0.912', 'r2': '0.809', 'spearmanr': '0.890'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.3285', 'loss': '2.3285'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '1.7493', 'loss': '1.7493'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '3.6737', 'loss': '3.6737'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '2.0342', 'loss': '2.0342'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '3.0954', 'loss': '3.0954'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '2.5023', 'loss': '2.5023'}
