SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '9.3305', 'loss_triplet': '1.0178', 'loss': '10.3484'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '12.0749', 'loss_triplet': '0.8097', 'loss': '12.8846'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '8.2001', 'loss_triplet': '0.6202', 'loss': '8.8203'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '6.8470', 'loss_triplet': '0.4820', 'loss': '7.3290'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '8.7680', 'loss_triplet': '0.2985', 'loss': '9.0665'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '7.2315', 'loss_triplet': '0.2252', 'loss': '7.4567'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '8.2693', 'loss_triplet': '0.1887', 'loss': '8.4580'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '3.1446', 'loss_triplet': '0.1524', 'loss': '3.2970'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '8.0810', 'loss_triplet': '0.1226', 'loss': '8.2036'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '7.2534', 'loss_triplet': '0.1171', 'loss': '7.3705'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '11.5856', 'loss_triplet': '0.1220', 'loss': '11.7076'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '5.7491', 'loss_triplet': '0.1152', 'loss': '5.8644'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '8.3528', 'loss_triplet': '0.1479', 'loss': '8.5007'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '6.0327', 'loss_triplet': '0.0942', 'loss': '6.1269'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '4.9332', 'loss_triplet': '0.0829', 'loss': '5.0161'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '5.8121', 'loss_triplet': '0.1197', 'loss': '5.9317'}
