SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '14.4135', 'loss_triplet': '0.9938', 'loss': '15.4073'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '11.5667', 'loss_triplet': '0.6154', 'loss': '12.1821'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '2.2582', 'loss_triplet': '0.3934', 'loss': '2.6516'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '11.2012', 'loss_triplet': '0.2363', 'loss': '11.4376'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '10.0138', 'loss_triplet': '0.2447', 'loss': '10.2585'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '5.0806', 'loss_triplet': '0.0970', 'loss': '5.1776'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '4.3669', 'loss_triplet': '0.0851', 'loss': '4.4521'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '5.2018', 'loss_triplet': '0.1282', 'loss': '5.3299'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '1.7314', 'loss_triplet': '0.0724', 'loss': '1.8038'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '8.7633', 'loss_triplet': '0.0645', 'loss': '8.8278'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '1.4245', 'loss_triplet': '0.0918', 'loss': '1.5163'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '3.1899', 'loss_triplet': '0.1069', 'loss': '3.2967'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '5.3588', 'loss_triplet': '0.0575', 'loss': '5.4163'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '7.5042', 'loss_triplet': '0.0762', 'loss': '7.5804'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '2.4382', 'loss_triplet': '0.0561', 'loss': '2.4943'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '2.1695', 'loss_triplet': '0.0561', 'loss': '2.2256'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '4.9657', 'loss_triplet': '0.0342', 'loss': '4.9999'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '5.4942', 'loss_triplet': '0.0512', 'loss': '5.5454'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '3.8194', 'loss_triplet': '0.0664', 'loss': '3.8858'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '8.1371', 'loss_triplet': '0.1932', 'loss': '8.3303'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '4.2517', 'loss_triplet': '0.0504', 'loss': '4.3021'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '1.2138', 'loss_triplet': '0.1074', 'loss': '1.3212'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '7.6259', 'loss_triplet': '0.0745', 'loss': '7.7004'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '1.2177', 'loss_triplet': '0.0860', 'loss': '1.3037'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '2.1785', 'loss_triplet': '0.1609', 'loss': '2.3394'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '0.7880', 'loss_triplet': '0.0441', 'loss': '0.8322'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '5.0052', 'loss_triplet': '0.0311', 'loss': '5.0363'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '3.9295', 'loss_triplet': '0.2621', 'loss': '4.1916'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '2.1614', 'loss_triplet': '0.0451', 'loss': '2.2065'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '5.2299', 'loss_triplet': '0.0410', 'loss': '5.2709'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '3.0771', 'loss_triplet': '0.0584', 'loss': '3.1355'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '0.7773', 'loss_triplet': '0.0935', 'loss': '0.8708'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '0.1690', 'loss_triplet': '0.0501', 'loss': '0.2191'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '2.2850', 'loss_triplet': '0.0775', 'loss': '2.3626'}
Train | Epoch: 1 | Step: 340 / 443 | {'loss_reg': '2.3785', 'loss_triplet': '0.0345', 'loss': '2.4129'}
Train | Epoch: 1 | Step: 350 / 443 | {'loss_reg': '1.7008', 'loss_triplet': '0.0529', 'loss': '1.7537'}
Train | Epoch: 1 | Step: 360 / 443 | {'loss_reg': '4.5562', 'loss_triplet': '0.0281', 'loss': '4.5844'}
Train | Epoch: 1 | Step: 370 / 443 | {'loss_reg': '2.3724', 'loss_triplet': '0.0276', 'loss': '2.4000'}
Train | Epoch: 1 | Step: 380 / 443 | {'loss_reg': '5.7954', 'loss_triplet': '0.0448', 'loss': '5.8402'}
Train | Epoch: 1 | Step: 390 / 443 | {'loss_reg': '2.2180', 'loss_triplet': '0.0478', 'loss': '2.2657'}
Train | Epoch: 1 | Step: 400 / 443 | {'loss_reg': '3.1158', 'loss_triplet': '0.0299', 'loss': '3.1458'}
Train | Epoch: 1 | Step: 410 / 443 | {'loss_reg': '3.5488', 'loss_triplet': '0.0359', 'loss': '3.5847'}
Train | Epoch: 1 | Step: 420 / 443 | {'loss_reg': '2.5155', 'loss_triplet': '0.0398', 'loss': '2.5553'}
Train | Epoch: 1 | Step: 430 / 443 | {'loss_reg': '2.0740', 'loss_triplet': '0.1367', 'loss': '2.2107'}
Train | Epoch: 1 | Step: 440 / 443 | {'loss_reg': '1.8788', 'loss_triplet': '0.0402', 'loss': '1.9191'}
Val | Epoch: 1 | {'rmse': '11.916', 'pearson': '0.950', 'r2': '0.895', 'spearmanr': '0.924'}
Train | Epoch: 2 | Step: 0 / 443 | {'loss_reg': '3.4707', 'loss_triplet': '0.0518', 'loss': '3.5225'}
Train | Epoch: 2 | Step: 10 / 443 | {'loss_reg': '0.5127', 'loss_triplet': '0.0560', 'loss': '0.5687'}
Train | Epoch: 2 | Step: 20 / 443 | {'loss_reg': '3.2832', 'loss_triplet': '0.0416', 'loss': '3.3248'}
Train | Epoch: 2 | Step: 30 / 443 | {'loss_reg': '0.5477', 'loss_triplet': '0.0485', 'loss': '0.5962'}
Train | Epoch: 2 | Step: 40 / 443 | {'loss_reg': '0.6852', 'loss_triplet': '0.1311', 'loss': '0.8163'}
Train | Epoch: 2 | Step: 50 / 443 | {'loss_reg': '1.1723', 'loss_triplet': '0.0395', 'loss': '1.2118'}
Train | Epoch: 2 | Step: 60 / 443 | {'loss_reg': '6.3759', 'loss_triplet': '0.0987', 'loss': '6.4745'}
Train | Epoch: 2 | Step: 70 / 443 | {'loss_reg': '1.2162', 'loss_triplet': '0.0264', 'loss': '1.2425'}
Train | Epoch: 2 | Step: 80 / 443 | {'loss_reg': '1.7109', 'loss_triplet': '0.0419', 'loss': '1.7528'}
Train | Epoch: 2 | Step: 90 / 443 | {'loss_reg': '0.9017', 'loss_triplet': '0.0854', 'loss': '0.9871'}
Train | Epoch: 2 | Step: 100 / 443 | {'loss_reg': '1.5401', 'loss_triplet': '0.0308', 'loss': '1.5709'}
Train | Epoch: 2 | Step: 110 / 443 | {'loss_reg': '1.7055', 'loss_triplet': '0.0250', 'loss': '1.7306'}
Train | Epoch: 2 | Step: 120 / 443 | {'loss_reg': '3.0499', 'loss_triplet': '0.0361', 'loss': '3.0859'}
Train | Epoch: 2 | Step: 130 / 443 | {'loss_reg': '3.1608', 'loss_triplet': '0.0332', 'loss': '3.1940'}
Train | Epoch: 2 | Step: 140 / 443 | {'loss_reg': '2.6242', 'loss_triplet': '0.0297', 'loss': '2.6538'}
Train | Epoch: 2 | Step: 150 / 443 | {'loss_reg': '1.4581', 'loss_triplet': '0.0555', 'loss': '1.5136'}
Train | Epoch: 2 | Step: 160 / 443 | {'loss_reg': '2.2052', 'loss_triplet': '0.0367', 'loss': '2.2419'}
Train | Epoch: 2 | Step: 170 / 443 | {'loss_reg': '1.5387', 'loss_triplet': '0.0495', 'loss': '1.5883'}
Train | Epoch: 2 | Step: 180 / 443 | {'loss_reg': '1.0418', 'loss_triplet': '0.0811', 'loss': '1.1228'}
Train | Epoch: 2 | Step: 190 / 443 | {'loss_reg': '0.3939', 'loss_triplet': '0.0284', 'loss': '0.4223'}
Train | Epoch: 2 | Step: 200 / 443 | {'loss_reg': '1.8036', 'loss_triplet': '0.0324', 'loss': '1.8360'}
Train | Epoch: 2 | Step: 210 / 443 | {'loss_reg': '1.9107', 'loss_triplet': '0.0395', 'loss': '1.9502'}
Train | Epoch: 2 | Step: 220 / 443 | {'loss_reg': '4.8056', 'loss_triplet': '0.0639', 'loss': '4.8695'}
Train | Epoch: 2 | Step: 230 / 443 | {'loss_reg': '1.5231', 'loss_triplet': '0.0310', 'loss': '1.5541'}
Train | Epoch: 2 | Step: 240 / 443 | {'loss_reg': '1.9445', 'loss_triplet': '0.0346', 'loss': '1.9791'}
Train | Epoch: 2 | Step: 250 / 443 | {'loss_reg': '3.6966', 'loss_triplet': '0.0442', 'loss': '3.7407'}
Train | Epoch: 2 | Step: 260 / 443 | {'loss_reg': '1.6888', 'loss_triplet': '0.0362', 'loss': '1.7250'}
Train | Epoch: 2 | Step: 270 / 443 | {'loss_reg': '1.3643', 'loss_triplet': '0.0288', 'loss': '1.3931'}
Train | Epoch: 2 | Step: 280 / 443 | {'loss_reg': '1.7665', 'loss_triplet': '0.0460', 'loss': '1.8125'}
Train | Epoch: 2 | Step: 290 / 443 | {'loss_reg': '0.9776', 'loss_triplet': '0.0888', 'loss': '1.0664'}
Train | Epoch: 2 | Step: 300 / 443 | {'loss_reg': '2.4292', 'loss_triplet': '0.1141', 'loss': '2.5433'}
Train | Epoch: 2 | Step: 310 / 443 | {'loss_reg': '9.3539', 'loss_triplet': '0.0628', 'loss': '9.4167'}
Train | Epoch: 2 | Step: 320 / 443 | {'loss_reg': '1.8664', 'loss_triplet': '0.0447', 'loss': '1.9111'}
Train | Epoch: 2 | Step: 330 / 443 | {'loss_reg': '5.7683', 'loss_triplet': '0.0695', 'loss': '5.8377'}
Train | Epoch: 2 | Step: 340 / 443 | {'loss_reg': '2.4699', 'loss_triplet': '0.0304', 'loss': '2.5002'}
Train | Epoch: 2 | Step: 350 / 443 | {'loss_reg': '2.4704', 'loss_triplet': '0.0384', 'loss': '2.5088'}
Train | Epoch: 2 | Step: 360 / 443 | {'loss_reg': '0.6494', 'loss_triplet': '0.0538', 'loss': '0.7032'}
Train | Epoch: 2 | Step: 370 / 443 | {'loss_reg': '0.6619', 'loss_triplet': '0.0448', 'loss': '0.7067'}
Train | Epoch: 2 | Step: 380 / 443 | {'loss_reg': '1.0859', 'loss_triplet': '0.0486', 'loss': '1.1344'}
Train | Epoch: 2 | Step: 390 / 443 | {'loss_reg': '2.6480', 'loss_triplet': '0.0291', 'loss': '2.6771'}
