SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '20.9803', 'loss': '20.9803'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '1.5435', 'loss': '1.5435'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '11.8303', 'loss': '11.8303'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '4.6382', 'loss': '4.6382'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '10.6140', 'loss': '10.6140'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '10.9817', 'loss': '10.9817'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '8.0092', 'loss': '8.0092'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '9.1734', 'loss': '9.1734'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '1.9924', 'loss': '1.9924'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '5.5976', 'loss': '5.5976'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '1.7574', 'loss': '1.7574'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '9.1609', 'loss': '9.1609'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '3.3707', 'loss': '3.3707'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '0.9563', 'loss': '0.9563'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '2.1365', 'loss': '2.1365'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '3.5154', 'loss': '3.5154'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '3.4149', 'loss': '3.4149'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '2.1405', 'loss': '2.1405'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '3.4759', 'loss': '3.4759'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '1.5380', 'loss': '1.5380'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '3.2375', 'loss': '3.2375'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '0.6158', 'loss': '0.6158'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '4.6045', 'loss': '4.6045'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '3.2134', 'loss': '3.2134'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '2.5189', 'loss': '2.5189'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '5.6547', 'loss': '5.6547'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '2.9460', 'loss': '2.9460'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '5.5096', 'loss': '5.5096'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '2.8319', 'loss': '2.8319'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '1.6849', 'loss': '1.6849'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '3.4701', 'loss': '3.4701'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '7.1285', 'loss': '7.1285'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '2.2417', 'loss': '2.2417'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '2.3723', 'loss': '2.3723'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '3.3608', 'loss': '3.3608'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '5.2964', 'loss': '5.2964'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '5.2242', 'loss': '5.2242'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '4.0681', 'loss': '4.0681'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '4.6209', 'loss': '4.6209'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '9.7925', 'loss': '9.7925'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '3.5230', 'loss': '3.5230'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '2.8873', 'loss': '2.8873'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '3.9581', 'loss': '3.9581'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '0.9955', 'loss': '0.9955'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '4.9621', 'loss': '4.9621'}
Val | Epoch: 1 | {'rmse': '12.175', 'pearson': '0.947', 'r2': '0.893', 'spearmanr': '0.900'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.2218', 'loss': '2.2218'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '1.6220', 'loss': '1.6220'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '0.4668', 'loss': '0.4668'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '1.9863', 'loss': '1.9863'}
