SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '20.0169', 'loss_triplet': '0.9964', 'loss': '21.0133'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '13.7170', 'loss_triplet': '0.6003', 'loss': '14.3173'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '7.2226', 'loss_triplet': '0.3699', 'loss': '7.5925'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '9.2584', 'loss_triplet': '0.2629', 'loss': '9.5214'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '9.4064', 'loss_triplet': '0.2211', 'loss': '9.6275'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '4.8580', 'loss_triplet': '0.0822', 'loss': '4.9402'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '5.6960', 'loss_triplet': '0.0575', 'loss': '5.7535'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '3.6741', 'loss_triplet': '0.2810', 'loss': '3.9551'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '7.4177', 'loss_triplet': '0.0996', 'loss': '7.5173'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '3.9020', 'loss_triplet': '0.0943', 'loss': '3.9963'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '3.4180', 'loss_triplet': '0.2035', 'loss': '3.6216'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '1.0418', 'loss_triplet': '0.1395', 'loss': '1.1813'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '6.2849', 'loss_triplet': '0.0513', 'loss': '6.3363'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '4.7782', 'loss_triplet': '0.0706', 'loss': '4.8488'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '6.0625', 'loss_triplet': '0.0793', 'loss': '6.1418'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '1.5196', 'loss_triplet': '0.0595', 'loss': '1.5791'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '5.5704', 'loss_triplet': '0.0562', 'loss': '5.6266'}
