SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '10.1787', 'loss': '10.1787'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '13.4779', 'loss': '13.4779'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '12.6403', 'loss': '12.6403'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '9.3607', 'loss': '9.3607'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '9.1890', 'loss': '9.1890'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '6.4221', 'loss': '6.4221'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '9.4552', 'loss': '9.4552'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '9.6287', 'loss': '9.6287'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '7.2724', 'loss': '7.2724'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '7.5648', 'loss': '7.5648'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '7.5016', 'loss': '7.5016'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '6.1007', 'loss': '6.1007'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '7.2144', 'loss': '7.2144'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '2.4439', 'loss': '2.4439'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '2.6483', 'loss': '2.6483'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '2.3129', 'loss': '2.3129'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '6.2442', 'loss': '6.2442'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '2.3306', 'loss': '2.3306'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '5.7840', 'loss': '5.7840'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '0.9024', 'loss': '0.9024'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '0.8583', 'loss': '0.8583'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '3.8950', 'loss': '3.8950'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '1.9097', 'loss': '1.9097'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '4.4948', 'loss': '4.4948'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '2.8949', 'loss': '2.8949'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '1.1289', 'loss': '1.1289'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '1.4781', 'loss': '1.4781'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '2.6585', 'loss': '2.6585'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '2.4716', 'loss': '2.4716'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '3.0563', 'loss': '3.0563'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '3.2288', 'loss': '3.2288'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '9.9746', 'loss': '9.9746'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '3.4348', 'loss': '3.4348'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '2.3298', 'loss': '2.3298'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '3.3393', 'loss': '3.3393'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '5.8366', 'loss': '5.8366'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '7.6103', 'loss': '7.6103'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '1.5080', 'loss': '1.5080'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '6.8689', 'loss': '6.8689'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '1.9695', 'loss': '1.9695'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '1.6349', 'loss': '1.6349'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '3.8042', 'loss': '3.8042'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '8.0171', 'loss': '8.0171'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '1.2473', 'loss': '1.2473'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '2.3093', 'loss': '2.3093'}
Val | Epoch: 1 | {'rmse': '16.101', 'pearson': '0.901', 'r2': '0.808', 'spearmanr': '0.895'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.6345', 'loss': '2.6345'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '4.2122', 'loss': '4.2122'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '3.4280', 'loss': '3.4280'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '1.2457', 'loss': '1.2457'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '5.7793', 'loss': '5.7793'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '3.7212', 'loss': '3.7212'}
Train | Epoch: 2 | Step: 60 / 442 | {'loss_reg': '2.8364', 'loss': '2.8364'}
Train | Epoch: 2 | Step: 70 / 442 | {'loss_reg': '2.0380', 'loss': '2.0380'}
Train | Epoch: 2 | Step: 80 / 442 | {'loss_reg': '2.3051', 'loss': '2.3051'}
Train | Epoch: 2 | Step: 90 / 442 | {'loss_reg': '3.8041', 'loss': '3.8041'}
Train | Epoch: 2 | Step: 100 / 442 | {'loss_reg': '3.4598', 'loss': '3.4598'}
Train | Epoch: 2 | Step: 110 / 442 | {'loss_reg': '3.1599', 'loss': '3.1599'}
Train | Epoch: 2 | Step: 120 / 442 | {'loss_reg': '2.5653', 'loss': '2.5653'}
Train | Epoch: 2 | Step: 130 / 442 | {'loss_reg': '7.6769', 'loss': '7.6769'}
Train | Epoch: 2 | Step: 140 / 442 | {'loss_reg': '0.5593', 'loss': '0.5593'}
Train | Epoch: 2 | Step: 150 / 442 | {'loss_reg': '1.8903', 'loss': '1.8903'}
Train | Epoch: 2 | Step: 160 / 442 | {'loss_reg': '4.7492', 'loss': '4.7492'}
Train | Epoch: 2 | Step: 170 / 442 | {'loss_reg': '2.0837', 'loss': '2.0837'}
Train | Epoch: 2 | Step: 180 / 442 | {'loss_reg': '3.9999', 'loss': '3.9999'}
Train | Epoch: 2 | Step: 190 / 442 | {'loss_reg': '2.5256', 'loss': '2.5256'}
Train | Epoch: 2 | Step: 200 / 442 | {'loss_reg': '2.7577', 'loss': '2.7577'}
Train | Epoch: 2 | Step: 210 / 442 | {'loss_reg': '5.2883', 'loss': '5.2883'}
Train | Epoch: 2 | Step: 220 / 442 | {'loss_reg': '4.9032', 'loss': '4.9032'}
Train | Epoch: 2 | Step: 230 / 442 | {'loss_reg': '4.3717', 'loss': '4.3717'}
Train | Epoch: 2 | Step: 240 / 442 | {'loss_reg': '0.7934', 'loss': '0.7934'}
Train | Epoch: 2 | Step: 250 / 442 | {'loss_reg': '1.7645', 'loss': '1.7645'}
Train | Epoch: 2 | Step: 260 / 442 | {'loss_reg': '3.0156', 'loss': '3.0156'}
Train | Epoch: 2 | Step: 270 / 442 | {'loss_reg': '0.9692', 'loss': '0.9692'}
Train | Epoch: 2 | Step: 280 / 442 | {'loss_reg': '1.1262', 'loss': '1.1262'}
Train | Epoch: 2 | Step: 290 / 442 | {'loss_reg': '2.6063', 'loss': '2.6063'}
Train | Epoch: 2 | Step: 300 / 442 | {'loss_reg': '4.8918', 'loss': '4.8918'}
Train | Epoch: 2 | Step: 310 / 442 | {'loss_reg': '0.7463', 'loss': '0.7463'}
Train | Epoch: 2 | Step: 320 / 442 | {'loss_reg': '1.5753', 'loss': '1.5753'}
Train | Epoch: 2 | Step: 330 / 442 | {'loss_reg': '2.4309', 'loss': '2.4309'}
Train | Epoch: 2 | Step: 340 / 442 | {'loss_reg': '3.4356', 'loss': '3.4356'}
Train | Epoch: 2 | Step: 350 / 442 | {'loss_reg': '0.9030', 'loss': '0.9030'}
Train | Epoch: 2 | Step: 360 / 442 | {'loss_reg': '1.3806', 'loss': '1.3806'}
Train | Epoch: 2 | Step: 370 / 442 | {'loss_reg': '1.1272', 'loss': '1.1272'}
Train | Epoch: 2 | Step: 380 / 442 | {'loss_reg': '1.0202', 'loss': '1.0202'}
Train | Epoch: 2 | Step: 390 / 442 | {'loss_reg': '2.0905', 'loss': '2.0905'}
