SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '15.6197', 'loss_triplet': '0.9838', 'loss': '16.6034'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '8.0651', 'loss_triplet': '0.8609', 'loss': '8.9260'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '11.2982', 'loss_triplet': '0.6953', 'loss': '11.9935'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '10.8457', 'loss_triplet': '0.4857', 'loss': '11.3314'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '7.9443', 'loss_triplet': '0.3147', 'loss': '8.2590'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '9.3326', 'loss_triplet': '0.2162', 'loss': '9.5489'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '11.5607', 'loss_triplet': '0.2359', 'loss': '11.7965'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '3.5274', 'loss_triplet': '0.1445', 'loss': '3.6719'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '4.7240', 'loss_triplet': '0.1499', 'loss': '4.8740'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '8.6833', 'loss_triplet': '0.2077', 'loss': '8.8910'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '3.2367', 'loss_triplet': '0.0907', 'loss': '3.3274'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '8.8190', 'loss_triplet': '0.1158', 'loss': '8.9347'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '3.1287', 'loss_triplet': '0.0952', 'loss': '3.2239'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '6.2906', 'loss_triplet': '0.1045', 'loss': '6.3952'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '3.6058', 'loss_triplet': '0.0824', 'loss': '3.6882'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '6.8625', 'loss_triplet': '0.0950', 'loss': '6.9574'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '9.4732', 'loss_triplet': '0.0952', 'loss': '9.5683'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '4.5139', 'loss_triplet': '0.0971', 'loss': '4.6110'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '7.8502', 'loss_triplet': '0.1311', 'loss': '7.9813'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '6.3859', 'loss_triplet': '0.1019', 'loss': '6.4878'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '5.4554', 'loss_triplet': '0.1161', 'loss': '5.5715'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '3.4676', 'loss_triplet': '0.0845', 'loss': '3.5521'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '6.4908', 'loss_triplet': '0.1245', 'loss': '6.6153'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '4.6828', 'loss_triplet': '0.1005', 'loss': '4.7833'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '2.4840', 'loss_triplet': '0.0936', 'loss': '2.5775'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '2.3775', 'loss_triplet': '0.0939', 'loss': '2.4714'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '5.6560', 'loss_triplet': '0.0886', 'loss': '5.7446'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '3.2611', 'loss_triplet': '0.0799', 'loss': '3.3410'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '4.2681', 'loss_triplet': '0.1614', 'loss': '4.4295'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '3.0451', 'loss_triplet': '0.0994', 'loss': '3.1446'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '7.9003', 'loss_triplet': '0.0769', 'loss': '7.9772'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '3.9095', 'loss_triplet': '0.1174', 'loss': '4.0269'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '3.4076', 'loss_triplet': '0.0693', 'loss': '3.4769'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '2.8641', 'loss_triplet': '0.0891', 'loss': '2.9532'}
Train | Epoch: 1 | Step: 340 / 443 | {'loss_reg': '0.9028', 'loss_triplet': '0.0570', 'loss': '0.9598'}
Train | Epoch: 1 | Step: 350 / 443 | {'loss_reg': '1.0604', 'loss_triplet': '0.0474', 'loss': '1.1078'}
Train | Epoch: 1 | Step: 360 / 443 | {'loss_reg': '9.6159', 'loss_triplet': '0.0605', 'loss': '9.6764'}
Train | Epoch: 1 | Step: 370 / 443 | {'loss_reg': '2.6681', 'loss_triplet': '0.1127', 'loss': '2.7809'}
Train | Epoch: 1 | Step: 380 / 443 | {'loss_reg': '1.8925', 'loss_triplet': '0.0684', 'loss': '1.9609'}
Train | Epoch: 1 | Step: 390 / 443 | {'loss_reg': '1.0396', 'loss_triplet': '0.0659', 'loss': '1.1055'}
Train | Epoch: 1 | Step: 400 / 443 | {'loss_reg': '1.5319', 'loss_triplet': '0.0815', 'loss': '1.6134'}
Train | Epoch: 1 | Step: 410 / 443 | {'loss_reg': '2.0024', 'loss_triplet': '0.0869', 'loss': '2.0893'}
