SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 443 | {'loss_reg': '10.0079', 'loss_triplet': '1.0116', 'loss': '11.0196'}
Train | Epoch: 1 | Step: 10 / 443 | {'loss_reg': '13.1760', 'loss_triplet': '0.5839', 'loss': '13.7599'}
Train | Epoch: 1 | Step: 20 / 443 | {'loss_reg': '16.1589', 'loss_triplet': '0.3344', 'loss': '16.4933'}
Train | Epoch: 1 | Step: 30 / 443 | {'loss_reg': '10.2089', 'loss_triplet': '0.2754', 'loss': '10.4843'}
Train | Epoch: 1 | Step: 40 / 443 | {'loss_reg': '8.7583', 'loss_triplet': '0.2240', 'loss': '8.9823'}
Train | Epoch: 1 | Step: 50 / 443 | {'loss_reg': '8.9076', 'loss_triplet': '0.1103', 'loss': '9.0179'}
Train | Epoch: 1 | Step: 60 / 443 | {'loss_reg': '5.5923', 'loss_triplet': '0.0821', 'loss': '5.6744'}
Train | Epoch: 1 | Step: 70 / 443 | {'loss_reg': '5.4792', 'loss_triplet': '0.0601', 'loss': '5.5393'}
Train | Epoch: 1 | Step: 80 / 443 | {'loss_reg': '5.3325', 'loss_triplet': '0.0854', 'loss': '5.4180'}
Train | Epoch: 1 | Step: 90 / 443 | {'loss_reg': '4.5720', 'loss_triplet': '0.1237', 'loss': '4.6957'}
Train | Epoch: 1 | Step: 100 / 443 | {'loss_reg': '7.9130', 'loss_triplet': '0.0993', 'loss': '8.0123'}
Train | Epoch: 1 | Step: 110 / 443 | {'loss_reg': '2.5790', 'loss_triplet': '0.0667', 'loss': '2.6457'}
Train | Epoch: 1 | Step: 120 / 443 | {'loss_reg': '2.8691', 'loss_triplet': '0.0896', 'loss': '2.9587'}
Train | Epoch: 1 | Step: 130 / 443 | {'loss_reg': '2.1235', 'loss_triplet': '0.1255', 'loss': '2.2490'}
Train | Epoch: 1 | Step: 140 / 443 | {'loss_reg': '4.9159', 'loss_triplet': '0.0757', 'loss': '4.9916'}
Train | Epoch: 1 | Step: 150 / 443 | {'loss_reg': '2.0163', 'loss_triplet': '0.1284', 'loss': '2.1446'}
Train | Epoch: 1 | Step: 160 / 443 | {'loss_reg': '5.9069', 'loss_triplet': '0.0859', 'loss': '5.9929'}
Train | Epoch: 1 | Step: 170 / 443 | {'loss_reg': '2.4662', 'loss_triplet': '0.0689', 'loss': '2.5351'}
Train | Epoch: 1 | Step: 180 / 443 | {'loss_reg': '4.0971', 'loss_triplet': '0.0579', 'loss': '4.1550'}
Train | Epoch: 1 | Step: 190 / 443 | {'loss_reg': '2.0779', 'loss_triplet': '0.0544', 'loss': '2.1323'}
Train | Epoch: 1 | Step: 200 / 443 | {'loss_reg': '2.1053', 'loss_triplet': '0.0351', 'loss': '2.1403'}
Train | Epoch: 1 | Step: 210 / 443 | {'loss_reg': '3.6052', 'loss_triplet': '0.0429', 'loss': '3.6480'}
Train | Epoch: 1 | Step: 220 / 443 | {'loss_reg': '2.9239', 'loss_triplet': '0.0368', 'loss': '2.9606'}
Train | Epoch: 1 | Step: 230 / 443 | {'loss_reg': '6.8966', 'loss_triplet': '0.0785', 'loss': '6.9751'}
Train | Epoch: 1 | Step: 240 / 443 | {'loss_reg': '1.5784', 'loss_triplet': '0.0396', 'loss': '1.6180'}
Train | Epoch: 1 | Step: 250 / 443 | {'loss_reg': '1.3113', 'loss_triplet': '0.0372', 'loss': '1.3484'}
Train | Epoch: 1 | Step: 260 / 443 | {'loss_reg': '2.0751', 'loss_triplet': '0.0359', 'loss': '2.1111'}
Train | Epoch: 1 | Step: 270 / 443 | {'loss_reg': '3.4927', 'loss_triplet': '0.0828', 'loss': '3.5755'}
Train | Epoch: 1 | Step: 280 / 443 | {'loss_reg': '2.7588', 'loss_triplet': '0.0437', 'loss': '2.8025'}
Train | Epoch: 1 | Step: 290 / 443 | {'loss_reg': '3.4272', 'loss_triplet': '0.0657', 'loss': '3.4930'}
Train | Epoch: 1 | Step: 300 / 443 | {'loss_reg': '2.6309', 'loss_triplet': '0.0524', 'loss': '2.6833'}
Train | Epoch: 1 | Step: 310 / 443 | {'loss_reg': '1.1599', 'loss_triplet': '0.0431', 'loss': '1.2030'}
Train | Epoch: 1 | Step: 320 / 443 | {'loss_reg': '6.5768', 'loss_triplet': '0.0631', 'loss': '6.6399'}
Train | Epoch: 1 | Step: 330 / 443 | {'loss_reg': '2.3397', 'loss_triplet': '0.0729', 'loss': '2.4126'}
Train | Epoch: 1 | Step: 340 / 443 | {'loss_reg': '1.1131', 'loss_triplet': '0.0586', 'loss': '1.1717'}
Train | Epoch: 1 | Step: 350 / 443 | {'loss_reg': '1.2456', 'loss_triplet': '0.0896', 'loss': '1.3352'}
Train | Epoch: 1 | Step: 360 / 443 | {'loss_reg': '1.6417', 'loss_triplet': '0.0427', 'loss': '1.6844'}
Train | Epoch: 1 | Step: 370 / 443 | {'loss_reg': '2.9539', 'loss_triplet': '0.0923', 'loss': '3.0463'}
Train | Epoch: 1 | Step: 380 / 443 | {'loss_reg': '2.7512', 'loss_triplet': '0.0343', 'loss': '2.7855'}
Train | Epoch: 1 | Step: 390 / 443 | {'loss_reg': '2.0083', 'loss_triplet': '0.0920', 'loss': '2.1003'}
Train | Epoch: 1 | Step: 400 / 443 | {'loss_reg': '1.1217', 'loss_triplet': '0.0386', 'loss': '1.1603'}
Train | Epoch: 1 | Step: 410 / 443 | {'loss_reg': '7.1490', 'loss_triplet': '0.0256', 'loss': '7.1746'}
Train | Epoch: 1 | Step: 420 / 443 | {'loss_reg': '1.4873', 'loss_triplet': '0.0337', 'loss': '1.5210'}
Train | Epoch: 1 | Step: 430 / 443 | {'loss_reg': '2.3020', 'loss_triplet': '0.0558', 'loss': '2.3578'}
Train | Epoch: 1 | Step: 440 / 443 | {'loss_reg': '1.6201', 'loss_triplet': '0.0740', 'loss': '1.6941'}
Val | Epoch: 1 | {'rmse': '12.901', 'pearson': '0.944', 'r2': '0.876', 'spearmanr': '0.906'}
Train | Epoch: 2 | Step: 0 / 443 | {'loss_reg': '1.7706', 'loss_triplet': '0.0534', 'loss': '1.8240'}
Train | Epoch: 2 | Step: 10 / 443 | {'loss_reg': '2.5783', 'loss_triplet': '0.0615', 'loss': '2.6398'}
Train | Epoch: 2 | Step: 20 / 443 | {'loss_reg': '2.1335', 'loss_triplet': '0.1112', 'loss': '2.2447'}
Train | Epoch: 2 | Step: 30 / 443 | {'loss_reg': '2.8687', 'loss_triplet': '0.1083', 'loss': '2.9770'}
Train | Epoch: 2 | Step: 40 / 443 | {'loss_reg': '3.0322', 'loss_triplet': '0.0457', 'loss': '3.0779'}
Train | Epoch: 2 | Step: 50 / 443 | {'loss_reg': '8.1077', 'loss_triplet': '0.0821', 'loss': '8.1899'}
Train | Epoch: 2 | Step: 60 / 443 | {'loss_reg': '0.9953', 'loss_triplet': '0.0451', 'loss': '1.0404'}
Train | Epoch: 2 | Step: 70 / 443 | {'loss_reg': '0.5484', 'loss_triplet': '0.0306', 'loss': '0.5791'}
Train | Epoch: 2 | Step: 80 / 443 | {'loss_reg': '5.3008', 'loss_triplet': '0.0394', 'loss': '5.3403'}
Train | Epoch: 2 | Step: 90 / 443 | {'loss_reg': '0.8352', 'loss_triplet': '0.0557', 'loss': '0.8909'}
Train | Epoch: 2 | Step: 100 / 443 | {'loss_reg': '1.2397', 'loss_triplet': '0.0368', 'loss': '1.2764'}
Train | Epoch: 2 | Step: 110 / 443 | {'loss_reg': '3.7793', 'loss_triplet': '0.1552', 'loss': '3.9345'}
Train | Epoch: 2 | Step: 120 / 443 | {'loss_reg': '3.4249', 'loss_triplet': '0.0615', 'loss': '3.4865'}
Train | Epoch: 2 | Step: 130 / 443 | {'loss_reg': '2.2001', 'loss_triplet': '0.0982', 'loss': '2.2983'}
Train | Epoch: 2 | Step: 140 / 443 | {'loss_reg': '1.5956', 'loss_triplet': '0.0357', 'loss': '1.6313'}
Train | Epoch: 2 | Step: 150 / 443 | {'loss_reg': '0.9551', 'loss_triplet': '0.0306', 'loss': '0.9857'}
Train | Epoch: 2 | Step: 160 / 443 | {'loss_reg': '0.9083', 'loss_triplet': '0.0504', 'loss': '0.9587'}
Train | Epoch: 2 | Step: 170 / 443 | {'loss_reg': '2.6519', 'loss_triplet': '0.0950', 'loss': '2.7469'}
Train | Epoch: 2 | Step: 180 / 443 | {'loss_reg': '4.8925', 'loss_triplet': '0.0398', 'loss': '4.9324'}
