SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '18.8999', 'loss': '18.8999'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '11.6831', 'loss': '11.6831'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '10.0143', 'loss': '10.0143'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '10.3982', 'loss': '10.3982'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '10.6500', 'loss': '10.6500'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '7.7805', 'loss': '7.7805'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '9.0040', 'loss': '9.0040'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '7.3021', 'loss': '7.3021'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '7.0539', 'loss': '7.0539'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '8.5213', 'loss': '8.5213'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '5.9334', 'loss': '5.9334'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '7.1778', 'loss': '7.1778'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '3.2530', 'loss': '3.2530'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '8.4826', 'loss': '8.4826'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '9.3508', 'loss': '9.3508'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '5.4808', 'loss': '5.4808'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '5.7506', 'loss': '5.7506'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '6.9975', 'loss': '6.9975'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '7.0669', 'loss': '7.0669'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '4.3838', 'loss': '4.3838'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '1.4069', 'loss': '1.4069'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '4.7990', 'loss': '4.7990'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '6.8118', 'loss': '6.8118'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '5.1044', 'loss': '5.1044'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '4.1521', 'loss': '4.1521'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '5.5624', 'loss': '5.5624'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '7.0762', 'loss': '7.0762'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '4.1366', 'loss': '4.1366'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '4.0850', 'loss': '4.0850'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '3.8653', 'loss': '3.8653'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '3.9831', 'loss': '3.9831'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '1.5390', 'loss': '1.5390'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '3.4748', 'loss': '3.4748'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '4.5085', 'loss': '4.5085'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '7.1613', 'loss': '7.1613'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '2.2318', 'loss': '2.2318'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '3.8533', 'loss': '3.8533'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '1.8954', 'loss': '1.8954'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '2.6558', 'loss': '2.6558'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '1.5355', 'loss': '1.5355'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '2.7981', 'loss': '2.7981'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '2.1663', 'loss': '2.1663'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '0.5052', 'loss': '0.5052'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '4.8409', 'loss': '4.8409'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '2.9614', 'loss': '2.9614'}
Val | Epoch: 1 | {'rmse': '16.577', 'pearson': '0.925', 'r2': '0.796', 'spearmanr': '0.912'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.7442', 'loss': '2.7442'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '5.2031', 'loss': '5.2031'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '4.3874', 'loss': '4.3874'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '2.9332', 'loss': '2.9332'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '1.4295', 'loss': '1.4295'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '2.6434', 'loss': '2.6434'}
Train | Epoch: 2 | Step: 60 / 442 | {'loss_reg': '1.9581', 'loss': '1.9581'}
Train | Epoch: 2 | Step: 70 / 442 | {'loss_reg': '2.4246', 'loss': '2.4246'}
Train | Epoch: 2 | Step: 80 / 442 | {'loss_reg': '2.3941', 'loss': '2.3941'}
Train | Epoch: 2 | Step: 90 / 442 | {'loss_reg': '2.4888', 'loss': '2.4888'}
Train | Epoch: 2 | Step: 100 / 442 | {'loss_reg': '1.8446', 'loss': '1.8446'}
Train | Epoch: 2 | Step: 110 / 442 | {'loss_reg': '9.6460', 'loss': '9.6460'}
Train | Epoch: 2 | Step: 120 / 442 | {'loss_reg': '0.7917', 'loss': '0.7917'}
Train | Epoch: 2 | Step: 130 / 442 | {'loss_reg': '1.9445', 'loss': '1.9445'}
Train | Epoch: 2 | Step: 140 / 442 | {'loss_reg': '6.5342', 'loss': '6.5342'}
Train | Epoch: 2 | Step: 150 / 442 | {'loss_reg': '1.9940', 'loss': '1.9940'}
Train | Epoch: 2 | Step: 160 / 442 | {'loss_reg': '0.8060', 'loss': '0.8060'}
Train | Epoch: 2 | Step: 170 / 442 | {'loss_reg': '0.5332', 'loss': '0.5332'}
Train | Epoch: 2 | Step: 180 / 442 | {'loss_reg': '2.0500', 'loss': '2.0500'}
Train | Epoch: 2 | Step: 190 / 442 | {'loss_reg': '2.9731', 'loss': '2.9731'}
Train | Epoch: 2 | Step: 200 / 442 | {'loss_reg': '9.1018', 'loss': '9.1018'}
Train | Epoch: 2 | Step: 210 / 442 | {'loss_reg': '0.6857', 'loss': '0.6857'}
Train | Epoch: 2 | Step: 220 / 442 | {'loss_reg': '8.4180', 'loss': '8.4180'}
Train | Epoch: 2 | Step: 230 / 442 | {'loss_reg': '0.8488', 'loss': '0.8488'}
Train | Epoch: 2 | Step: 240 / 442 | {'loss_reg': '1.7546', 'loss': '1.7546'}
Train | Epoch: 2 | Step: 250 / 442 | {'loss_reg': '7.0872', 'loss': '7.0872'}
Train | Epoch: 2 | Step: 260 / 442 | {'loss_reg': '1.3343', 'loss': '1.3343'}
Train | Epoch: 2 | Step: 270 / 442 | {'loss_reg': '1.7419', 'loss': '1.7419'}
