SEED FROM ARGS.
Train | Epoch: 1 | Step: 0 / 442 | {'loss_reg': '15.2118', 'loss_triplet': '0.9617', 'loss': '16.1735'}
Train | Epoch: 1 | Step: 10 / 442 | {'loss_reg': '12.0872', 'loss_triplet': '0.5910', 'loss': '12.6783'}
Train | Epoch: 1 | Step: 20 / 442 | {'loss_reg': '8.6434', 'loss_triplet': '0.3862', 'loss': '9.0296'}
Train | Epoch: 1 | Step: 30 / 442 | {'loss_reg': '10.2331', 'loss_triplet': '0.2803', 'loss': '10.5134'}
Train | Epoch: 1 | Step: 40 / 442 | {'loss_reg': '9.3484', 'loss_triplet': '0.2274', 'loss': '9.5758'}
Train | Epoch: 1 | Step: 50 / 442 | {'loss_reg': '7.1230', 'loss_triplet': '0.1041', 'loss': '7.2271'}
Train | Epoch: 1 | Step: 60 / 442 | {'loss_reg': '7.7234', 'loss_triplet': '0.0796', 'loss': '7.8029'}
Train | Epoch: 1 | Step: 70 / 442 | {'loss_reg': '5.6757', 'loss_triplet': '0.0887', 'loss': '5.7643'}
Train | Epoch: 1 | Step: 80 / 442 | {'loss_reg': '6.1260', 'loss_triplet': '0.0565', 'loss': '6.1825'}
Train | Epoch: 1 | Step: 90 / 442 | {'loss_reg': '2.9508', 'loss_triplet': '0.0695', 'loss': '3.0203'}
Train | Epoch: 1 | Step: 100 / 442 | {'loss_reg': '3.3155', 'loss_triplet': '0.0462', 'loss': '3.3617'}
Train | Epoch: 1 | Step: 110 / 442 | {'loss_reg': '5.5133', 'loss_triplet': '0.0372', 'loss': '5.5505'}
Train | Epoch: 1 | Step: 120 / 442 | {'loss_reg': '3.7619', 'loss_triplet': '0.0508', 'loss': '3.8126'}
Train | Epoch: 1 | Step: 130 / 442 | {'loss_reg': '9.2826', 'loss_triplet': '0.0409', 'loss': '9.3235'}
Train | Epoch: 1 | Step: 140 / 442 | {'loss_reg': '6.9343', 'loss_triplet': '0.0489', 'loss': '6.9832'}
Train | Epoch: 1 | Step: 150 / 442 | {'loss_reg': '3.0550', 'loss_triplet': '0.1281', 'loss': '3.1831'}
Train | Epoch: 1 | Step: 160 / 442 | {'loss_reg': '0.5062', 'loss_triplet': '0.0532', 'loss': '0.5594'}
Train | Epoch: 1 | Step: 170 / 442 | {'loss_reg': '2.8043', 'loss_triplet': '0.1468', 'loss': '2.9511'}
Train | Epoch: 1 | Step: 180 / 442 | {'loss_reg': '6.7875', 'loss_triplet': '0.0685', 'loss': '6.8559'}
Train | Epoch: 1 | Step: 190 / 442 | {'loss_reg': '3.0891', 'loss_triplet': '0.0445', 'loss': '3.1336'}
Train | Epoch: 1 | Step: 200 / 442 | {'loss_reg': '1.9211', 'loss_triplet': '0.0572', 'loss': '1.9783'}
Train | Epoch: 1 | Step: 210 / 442 | {'loss_reg': '1.3435', 'loss_triplet': '0.0587', 'loss': '1.4022'}
Train | Epoch: 1 | Step: 220 / 442 | {'loss_reg': '5.9618', 'loss_triplet': '0.0827', 'loss': '6.0445'}
Train | Epoch: 1 | Step: 230 / 442 | {'loss_reg': '2.3338', 'loss_triplet': '0.1499', 'loss': '2.4837'}
Train | Epoch: 1 | Step: 240 / 442 | {'loss_reg': '3.9677', 'loss_triplet': '0.0287', 'loss': '3.9964'}
Train | Epoch: 1 | Step: 250 / 442 | {'loss_reg': '2.2419', 'loss_triplet': '0.1881', 'loss': '2.4300'}
Train | Epoch: 1 | Step: 260 / 442 | {'loss_reg': '3.0510', 'loss_triplet': '0.0637', 'loss': '3.1148'}
Train | Epoch: 1 | Step: 270 / 442 | {'loss_reg': '0.6932', 'loss_triplet': '0.0499', 'loss': '0.7431'}
Train | Epoch: 1 | Step: 280 / 442 | {'loss_reg': '2.9028', 'loss_triplet': '0.0320', 'loss': '2.9347'}
Train | Epoch: 1 | Step: 290 / 442 | {'loss_reg': '4.1078', 'loss_triplet': '0.0658', 'loss': '4.1736'}
Train | Epoch: 1 | Step: 300 / 442 | {'loss_reg': '0.8953', 'loss_triplet': '0.0357', 'loss': '0.9309'}
Train | Epoch: 1 | Step: 310 / 442 | {'loss_reg': '2.1840', 'loss_triplet': '0.0262', 'loss': '2.2102'}
Train | Epoch: 1 | Step: 320 / 442 | {'loss_reg': '3.5551', 'loss_triplet': '0.0550', 'loss': '3.6101'}
Train | Epoch: 1 | Step: 330 / 442 | {'loss_reg': '0.8826', 'loss_triplet': '0.0359', 'loss': '0.9185'}
Train | Epoch: 1 | Step: 340 / 442 | {'loss_reg': '0.8339', 'loss_triplet': '0.0313', 'loss': '0.8652'}
Train | Epoch: 1 | Step: 350 / 442 | {'loss_reg': '1.7896', 'loss_triplet': '0.0350', 'loss': '1.8246'}
Train | Epoch: 1 | Step: 360 / 442 | {'loss_reg': '3.1108', 'loss_triplet': '0.0539', 'loss': '3.1646'}
Train | Epoch: 1 | Step: 370 / 442 | {'loss_reg': '1.0949', 'loss_triplet': '0.0646', 'loss': '1.1595'}
Train | Epoch: 1 | Step: 380 / 442 | {'loss_reg': '1.3264', 'loss_triplet': '0.0301', 'loss': '1.3564'}
Train | Epoch: 1 | Step: 390 / 442 | {'loss_reg': '2.6405', 'loss_triplet': '0.0317', 'loss': '2.6722'}
Train | Epoch: 1 | Step: 400 / 442 | {'loss_reg': '3.1617', 'loss_triplet': '0.0684', 'loss': '3.2301'}
Train | Epoch: 1 | Step: 410 / 442 | {'loss_reg': '2.5827', 'loss_triplet': '0.1523', 'loss': '2.7349'}
Train | Epoch: 1 | Step: 420 / 442 | {'loss_reg': '3.0253', 'loss_triplet': '0.0264', 'loss': '3.0518'}
Train | Epoch: 1 | Step: 430 / 442 | {'loss_reg': '5.4057', 'loss_triplet': '0.0338', 'loss': '5.4395'}
Train | Epoch: 1 | Step: 440 / 442 | {'loss_reg': '3.6301', 'loss_triplet': '0.0548', 'loss': '3.6849'}
Val | Epoch: 1 | {'rmse': '15.108', 'pearson': '0.934', 'r2': '0.835', 'spearmanr': '0.911'}
Train | Epoch: 2 | Step: 0 / 442 | {'loss_reg': '2.5832', 'loss_triplet': '0.2038', 'loss': '2.7870'}
Train | Epoch: 2 | Step: 10 / 442 | {'loss_reg': '3.1457', 'loss_triplet': '0.0442', 'loss': '3.1899'}
Train | Epoch: 2 | Step: 20 / 442 | {'loss_reg': '2.2029', 'loss_triplet': '0.1602', 'loss': '2.3631'}
Train | Epoch: 2 | Step: 30 / 442 | {'loss_reg': '2.7171', 'loss_triplet': '0.0951', 'loss': '2.8122'}
Train | Epoch: 2 | Step: 40 / 442 | {'loss_reg': '2.9122', 'loss_triplet': '0.0440', 'loss': '2.9561'}
Train | Epoch: 2 | Step: 50 / 442 | {'loss_reg': '3.5762', 'loss_triplet': '0.0398', 'loss': '3.6160'}
Train | Epoch: 2 | Step: 60 / 442 | {'loss_reg': '2.0496', 'loss_triplet': '0.0295', 'loss': '2.0791'}
Train | Epoch: 2 | Step: 70 / 442 | {'loss_reg': '1.1239', 'loss_triplet': '0.0241', 'loss': '1.1479'}
Train | Epoch: 2 | Step: 80 / 442 | {'loss_reg': '2.3313', 'loss_triplet': '0.0848', 'loss': '2.4161'}
Train | Epoch: 2 | Step: 90 / 442 | {'loss_reg': '2.9473', 'loss_triplet': '0.0357', 'loss': '2.9830'}
Train | Epoch: 2 | Step: 100 / 442 | {'loss_reg': '2.8974', 'loss_triplet': '0.0692', 'loss': '2.9666'}
Train | Epoch: 2 | Step: 110 / 442 | {'loss_reg': '1.3273', 'loss_triplet': '0.0619', 'loss': '1.3893'}
Train | Epoch: 2 | Step: 120 / 442 | {'loss_reg': '2.3633', 'loss_triplet': '0.0341', 'loss': '2.3974'}
Train | Epoch: 2 | Step: 130 / 442 | {'loss_reg': '0.7390', 'loss_triplet': '0.0262', 'loss': '0.7652'}
Train | Epoch: 2 | Step: 140 / 442 | {'loss_reg': '5.8731', 'loss_triplet': '0.0242', 'loss': '5.8974'}
Train | Epoch: 2 | Step: 150 / 442 | {'loss_reg': '0.7455', 'loss_triplet': '0.0344', 'loss': '0.7799'}
Train | Epoch: 2 | Step: 160 / 442 | {'loss_reg': '1.5133', 'loss_triplet': '0.0428', 'loss': '1.5561'}
Train | Epoch: 2 | Step: 170 / 442 | {'loss_reg': '2.5922', 'loss_triplet': '0.0652', 'loss': '2.6573'}
Train | Epoch: 2 | Step: 180 / 442 | {'loss_reg': '0.9713', 'loss_triplet': '0.0595', 'loss': '1.0308'}
Train | Epoch: 2 | Step: 190 / 442 | {'loss_reg': '1.0718', 'loss_triplet': '0.0783', 'loss': '1.1501'}
Train | Epoch: 2 | Step: 200 / 442 | {'loss_reg': '1.0918', 'loss_triplet': '0.0634', 'loss': '1.1552'}
Train | Epoch: 2 | Step: 210 / 442 | {'loss_reg': '1.0992', 'loss_triplet': '0.0331', 'loss': '1.1323'}
Train | Epoch: 2 | Step: 220 / 442 | {'loss_reg': '2.7570', 'loss_triplet': '0.0877', 'loss': '2.8446'}
Train | Epoch: 2 | Step: 230 / 442 | {'loss_reg': '0.6253', 'loss_triplet': '0.0290', 'loss': '0.6543'}
Train | Epoch: 2 | Step: 240 / 442 | {'loss_reg': '0.8938', 'loss_triplet': '0.0554', 'loss': '0.9492'}
Train | Epoch: 2 | Step: 250 / 442 | {'loss_reg': '1.3937', 'loss_triplet': '0.0492', 'loss': '1.4429'}
Train | Epoch: 2 | Step: 260 / 442 | {'loss_reg': '1.3738', 'loss_triplet': '0.0349', 'loss': '1.4087'}
Train | Epoch: 2 | Step: 270 / 442 | {'loss_reg': '2.0388', 'loss_triplet': '0.0519', 'loss': '2.0908'}
Train | Epoch: 2 | Step: 280 / 442 | {'loss_reg': '1.5542', 'loss_triplet': '0.0598', 'loss': '1.6140'}
Train | Epoch: 2 | Step: 290 / 442 | {'loss_reg': '2.7996', 'loss_triplet': '0.1359', 'loss': '2.9354'}
Train | Epoch: 2 | Step: 300 / 442 | {'loss_reg': '1.0082', 'loss_triplet': '0.0307', 'loss': '1.0390'}
Train | Epoch: 2 | Step: 310 / 442 | {'loss_reg': '2.2259', 'loss_triplet': '0.0421', 'loss': '2.2680'}
Train | Epoch: 2 | Step: 320 / 442 | {'loss_reg': '2.6126', 'loss_triplet': '0.0506', 'loss': '2.6631'}
Train | Epoch: 2 | Step: 330 / 442 | {'loss_reg': '2.5277', 'loss_triplet': '0.0341', 'loss': '2.5618'}
Train | Epoch: 2 | Step: 340 / 442 | {'loss_reg': '7.5498', 'loss_triplet': '0.0293', 'loss': '7.5791'}
Train | Epoch: 2 | Step: 350 / 442 | {'loss_reg': '2.2169', 'loss_triplet': '0.0915', 'loss': '2.3084'}
